Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2010,7,1,0.986816,0.991274,0.993444,0.992662,0.989905,0.979296,0.947837,0.955729,0.979796,0.97407,0.961234,0.947813,0.983848,0.979987,0.983465,0.987618,0.978951,0.989358,0.991258,0.990016,0.992065,0.98828,0.977858,0.964051
2010,7,2,0.989998,0.992902,0.99111,0.970847,0.979455,0.947943,0.967861,0.9822,0.974011,0.952687,0.932099,0.928481,0.879384,0.894732,0.908347,0.900717,0.871686,0.892877,0.858641,0.831567,0.81064,0.769294,0.750835,0.762611
2010,7,3,0.790593,0.823911,0.852188,0.907591,0.909921,0.89549,0.936973,0.968712,0.965525,0.956197,0.93895,0.928983,0.939772,0.954754,0.896914,0.835757,0.842286,0.844749,0.821341,0.781156,0.73521,0.657147,0.628433,0.657641
2010,7,4,0.615699,0.563832,0.521789,0.499568,0.448697,0.336756,0.3304,0.337974,0.336673,0.300723,0.268516,0.233401,0.201394,0.175116,0.15206,0.136929,0.127515,0.125155,0.121037,0.11195,0.109113,0.090619,0.07026,0.069604
2010,7,5,0.083216,0.105552,0.116752,0.124201,0.116912,0.099478,0.07096,0.047492,0.101782,0.11511,0.119986,0.127829,0.123654,0.138591,0.173084,0.179802,0.194216,0.236711,0.277199,0.263963,0.296719,0.267072,0.32463,0.409523
2010,7,6,0.256936,0.182536,0.14166,0.14732,0.182341,0.184739,0.232379,0.205543,0.17996,0.178825,0.201851,0.178322,0.185948,0.188673,0.179308,0.169745,0.219586,0.237497,0.252819,0.264574,0.259764,0.24777,0.297715,0.390702
2010,7,7,0.255827,0.217008,0.214451,0.224343,0.209106,0.178148,0.22442,0.265064,0.260407,0.223424,0.183215,0.172591,0.212906,0.18887,0.167508,0.160723,0.156738,0.15728,0.154137,0.139712,0.143434,0.135223,0.149614,0.150239
2010,7,8,0.137136,0.124735,0.119369,0.131861,0.172079,0.198671,0.290663,0.340003,0.332347,0.338371,0.418016,0.611097,0.686309,0.752607,0.753671,0.857022,0.818875,0.853454,0.879449,0.777015,0.760483,0.782548,0.885624,0.909434
2010,7,9,0.90276,0.863601,0.763559,0.692499,0.657752,0.507655,0.592164,0.735985,0.72634,0.641114,0.666991,0.619045,0.536895,0.492883,0.475649,0.483015,0.47844,0.456299,0.428834,0.540185,0.527867,0.488739,0.37459,0.216645
2010,7,10,0.169743,0.216138,0.276294,0.326789,0.344796,0.308235,0.311579,0.322212,0.326863,0.374674,0.439324,0.455071,0.501966,0.599821,0.589582,0.623201,0.615026,0.61152,0.619822,0.657174,0.684441,0.689133,0.828027,0.936773
2010,7,11,0.951745,0.95613,0.948227,0.953365,0.955268,0.938105,0.876676,0.903513,0.915751,0.911027,0.915835,0.924226,0.907925,0.894585,0.877085,0.849436,0.823064,0.811881,0.777401,0.676045,0.65559,0.650121,0.763793,0.810967
2010,7,12,0.860921,0.922668,0.9038,0.892121,0.855602,0.748597,0.553266,0.707185,0.745526,0.843607,0.927909,0.932926,0.89231,0.768856,0.723954,0.703457,0.639157,0.632222,0.611514,0.572157,0.590215,0.583559,0.551742,0.531121
2010,7,13,0.568878,0.556173,0.535148,0.507566,0.428132,0.434854,0.515312,0.557971,0.502844,0.432725,0.373857,0.316345,0.263984,0.251462,0.218149,0.170459,0.162891,0.144441,0.130648,0.133187,0.148998,0.119433,0.0664,0.047456
2010,7,14,0.020011,0.02091,0.018925,0.019093,0.030666,0.034292,0.059733,0.065582,0.05702,0.044077,0.054762,0.063658,0.074494,0.08736,0.125277,0.163825,0.192719,0.206313,0.210143,0.200707,0.218158,0.190025,0.198289,0.205773
2010,7,15,0.202549,0.221623,0.21865,0.221079,0.234022,0.226855,0.290231,0.372102,0.398932,0.303296,0.328335,0.382827,0.46238,0.440614,0.409848,0.349747,0.333651,0.289682,0.290517,0.271831,0.181406,0.134549,0.549857,0.679939
2010,7,16,0.150555,0.087866,0.131499,0.258433,0.256832,0.120566,0.137934,0.059745,0.085,0.054014,0.034474,0.023087,0.03663,0.053412,0.077865,0.129507,0.171488,0.20363,0.28002,0.285017,0.228759,0.214323,0.20899,0.338337
2010,7,17,0.369175,0.540076,0.61282,0.650094,0.654282,0.554955,0.544252,0.612223,0.612224,0.648789,0.6499,0.633088,0.678745,0.695032,0.622494,0.586754,0.57999,0.618576,0.602413,0.597198,0.57245,0.567803,0.610218,0.609344
2010,7,18,0.567198,0.610078,0.662839,0.707152,0.680675,0.586526,0.60869,0.68915,0.7169,0.660757,0.619102,0.598842,0.621744,0.705373,0.75162,0.730474,0.779082,0.816374,0.766265,0.70278,0.64865,0.640448,0.887497,0.906923
2010,7,19,0.945975,0.949497,0.945336,0.937859,0.92245,0.899943,0.910815,0.955693,0.95935,0.977874,0.979971,0.972508,0.947104,0.916556,0.932397,0.847026,0.755035,0.750235,0.764665,0.757323,0.789017,0.810307,0.86515,0.859512
2010,7,20,0.897671,0.926963,0.948014,0.967067,0.966957,0.961007,0.948159,0.955035,0.972035,0.991638,0.99391,0.995615,0.99533,0.994662,0.993317,0.997777,0.998013,0.998382,0.99656,0.993164,0.996268,0.994929,0.997414,0.997728
2010,7,21,0.997097,0.962411,0.980445,0.997985,0.975495,0.977016,0.877639,0.720567,0.693463,0.722991,0.73438,0.933876,0.934986,0.933967,0.93894,0.872068,0.796848,0.658005,0.519819,0.481261,0.453805,0.449615,0.423407,0.450674
2010,7,22,0.53663,0.568989,0.483327,0.435061,0.323599,0.281854,0.24647,0.292092,0.249601,0.236773,0.189384,0.163188,0.170009,0.151515,0.15524,0.132461,0.118571,0.082708,0.07548,0.065445,0.07718,0.054104,0.024732,0.024226
