Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2010,7,1,1.955914,1.945614,1.984998,1.996988,2,1.999428,2,2,1.999514,2,1.998714,1.99956,1.999496,1.999616,2,1.998108,1.994576,1.991256,1.994636,1.987082,1.991936,1.967928,1.975944,1.988318
2010,7,2,1.955026,1.961962,1.796868,1.715698,1.441376,1.48244,1.273688,1.268672,1.491848,1.297116,1.685654,1.277694,0.866404,1.871238,1.802688,1.323462,1.678086,1.42193,1.348946,1.31095,1.612184,1.64003,1.683352,1.888698
2010,7,3,1.823598,1.678864,1.752534,1.772456,1.78298,1.52989,1.60734,1.523572,1.343396,1.407704,1.618932,1.500946,1.470978,1.30528,1.317094,1.177934,0.727338,0.52708,0.177464,0.094836,0.091916,0.103102,0,0
2010,7,4,0,0,0.081706,0.120214,0.1264,0.10872,0,0,0,0,0.072078,0.079622,0.09588,0.103466,0.513292,0.503968,0.4778,0.378776,0.17195,0.395902,0.388382,0.303804,0.157652,0.108848
2010,7,5,0.079652,0,0,0,0,0,0,0,0.100834,0.184066,0.17624,0.23928,0.273284,0.289092,0.326246,0.203206,0.175562,0.22389,0.138636,0.21775,0.159366,0.313794,0.110904,0.116574
2010,7,6,0.197984,0.176172,0.166856,0.14722,0.220756,0.189954,0.152378,0.145238,0.266886,0.342652,0.474128,0.578636,0.670686,0.74898,0.834824,0.974542,1.070496,1.159588,1.209552,1.231254,1.28219,1.234814,1.236848,1.062956
2010,7,7,0.722378,0.538204,0.619608,0.686706,0.60226,0.41206,0.415626,0.434006,0.467018,0.661702,0.860492,1.062956,1.046592,1.154152,1.208784,1.266914,1.35111,1.312672,1.27068,1.301326,1.287676,1.342672,1.26591,1.194928
2010,7,8,0.953568,1.050746,1.328102,1.342672,1.462892,1.352314,1.272184,1.997824,1.998228,2,0.759356,0.333804,0.62308,0.192006,0.814064,0.546152,0.684962,1.470324,0.642508,0.668754,1.64307,1.785462,1.95764,1.980246
2010,7,9,1.966926,1.980688,1.98712,1.98973,1.986012,1.965854,1.977454,1.98457,1.967024,1.977224,1.971896,1.9651,1.982478,1.991392,1.991468,1.985664,1.988326,1.978102,1.969538,1.967756,1.99506,1.989786,1.98784,1.988546
2010,7,10,1.994094,1.99038,1.980198,1.942286,1.954094,1.283688,0.691954,1.554048,1.483514,1.453188,0.94949,1.492486,1.140416,1.271432,1.18515,0.78011,1.229982,1.779786,1.352794,1.427618,1.485444,1.489932,1.531916,1.542168
2010,7,11,1.816364,1.95124,1.958012,1.975336,1.96941,1.896026,1.776902,1.642902,0.935508,0.704072,0.717888,0.760514,0.868626,0.85705,0.472966,0.275242,0.138046,0.14631,0.11495,0.207922,0.270932,0.294106,0.241376,0.087292
2010,7,12,0.13151,0.313444,0.424048,0.302902,0.154694,0.17482,0.226374,0.212092,0.136344,0.157166,0.20104,0.211768,0.261218,0.360316,0.339764,0.32709,0.313678,0.29159,0.38251,0.41503,0.383066,0.31101,0.365622,0.412948
2010,7,13,0.376442,0.28014,0.21331,0.135028,0.110472,0.111814,0.109614,0,0,0,0.073736,0.08177,0,0,0,0,0,0,0,0,0,0,0,0.117256
2010,7,14,0.10923,0.1221,0.271954,0.43773,0.335038,0.30562,0.174282,0.115894,0.184776,0.094688,0,0,0,0.179248,0.329274,0.528166,0.523472,0.495984,0.479812,0.264088,0.205786,0.20689,0.16329,0.098576
2010,7,15,0,0,0,0.096896,0.123054,0.11291,0.11335,0,0,0,0.096256,0.08933,0.103466,0.132638,0.217086,0.24028,0.299086,0.384878,1.413002,1.818416,1.7945,1.685808,0.267088,0
2010,7,16,0.165192,0.07903,0.08668,0,0,0.083812,0,0.072788,0.110342,0.229406,0.309166,0.314844,0.326004,0.350292,0.379742,0.474462,0.626768,0.867144,0.988156,1.268672,1.620518,1.527042,1.531106,1.752534
2010,7,17,1.735904,1.823124,1.61379,1.715132,1.646594,1.770442,1.822744,1.645924,1.400294,0.975054,0.996394,0.805926,1.240908,1.162952,1.267668,1.28219,1.063736,1.116004,1.091822,1.308732,1.155188,1.116004,0.957906,1.208784
2010,7,18,1.474452,1.70156,1.656354,1.690372,1.657988,1.157518,1.377574,1.644416,1.718238,1.752156,1.835636,1.881092,1.918858,1.92254,1.945264,1.945008,1.941678,1.967814,1.962784,1.968936,1.967508,1.963864,1.979392,1.97392
2010,7,19,1.957414,1.824356,0.325402,0.22406,0.17017,0.114862,0.112294,0.24028,0.40632,0.340264,0.181398,0,0.123244,0.329032,0.279196,0.140694,0.12694,0.16932,0.287906,0.153978,0.216012,0.487758,0.94084,1.169414
