Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2010,7,1,1.995598,1.99016,1.995858,1.99572,1.998604,1.991078,1.930614,1.950508,1.959084,1.89535,1.954498,1.932546,1.916344,1.77883,1.867874,1.91196,1.92207,1.917922,1.913462,1.84512,1.881422,1.596328,1.622646,1.765822
2010,7,2,1.908774,1.788354,1.196634,0.71137,0.733596,0.66039,0.556824,0.62031,0.691602,0.608514,0.542452,0.433436,0.24592,0.239608,0.209436,0.205152,0.254878,0.289292,0.237632,0.191644,0.125516,0.087226,0.080834,0.099506
2010,7,3,0.122656,0.10893,0.103126,0.148754,0.205724,0.227168,0.16147,0.115946,0.088802,0,0,0,0,0,0.17073,0.327032,0.219562,0.21423,0.26768,0.140426,0.17314,0.144154,0.126228,0.150986
2010,7,4,0.138458,0.19566,0.11089,0.087476,0.098182,0.073874,0,0,0,0,0,0,0,0,0.086766,0.111252,0.118172,0.119326,0.078786,0.076978,0.119424,0.194726,0.243128,0.20507
2010,7,5,0.18614,0.622646,0.93492,1.190484,1.1386,0.898234,0.612078,0.41544,0.236696,0.31455,1.076424,1.550962,1.661394,1.720048,1.698484,1.526984,1.3102,0.975782,0.902662,1.021894,1.028356,0.925966,0.626268,0.48356
2010,7,6,0.509588,0.497068,0.401986,0.471896,0.588664,0.51548,0.700066,0.800862,0.738564,0.670394,0.716016,0.836388,0.776544,1.0227,1.075072,0.956884,0.740936,0.72372,0.63119,0.474142,0.40395,0.427048,0.323154,0.315644
2010,7,7,0.238852,0.136682,0.13471,0.123602,0.123252,0.124656,0.256686,0.676442,0.62648,0.469488,0.400782,0.501394,0.506298,0.495632,0.473622,0.563326,0.503388,0.359036,0.310926,0.309008,0.351322,0.491166,0.618192,0.478308
2010,7,8,1.514166,0.112886,0.803836,1.543126,0.099952,0.584384,0.707436,1.712702,1.024316,0.287384,0,1.26594,1.45925,1.935562,1.95624,1.970574,1.996188,1.995808,1.997232,1.726672,1.60824,1.390214,1.75086,1.648588
2010,7,9,1.935366,1.970284,1.984302,1.983212,1.954526,1.933752,1.843266,1.6826,1.61586,1.91196,1.972076,1.982038,1.782044,1.39943,1.433504,1.999302,1.999422,1.993214,1.990264,1.952774,1.939442,1.76062,1.681638,1.95916
2010,7,10,1.98948,1.995236,1.989018,1.983212,1.988202,1.993472,1.902766,1.744984,1.80933,1.795406,1.908882,1.947152,1.934584,1.869914,1.862212,1.899092,1.651522,1.723664,1.847648,1.962098,1.945986,1.870736,1.624284,1.934662
2010,7,11,1.983532,1.991448,1.99498,1.993226,1.981608,1.87449,1.675648,1.80193,1.75297,1.720774,1.529524,1.521028,1.503542,1.40978,1.329056,1.815466,1.38607,1.188878,1.542296,1.559928,1.42927,1.72121,1.78393,1.82982
2010,7,12,1.937474,1.96941,1.914484,1.832852,1.989012,1.98612,1.610854,1.643716,1.83786,1.893618,1.933792,1.912636,1.877362,1.919518,1.923774,1.798856,1.776906,1.509846,1.969222,1.792928,1.85209,1.655632,1.860624,1.654096
2010,7,13,1.876578,1.728664,1.908936,1.8041,1.873176,1.870438,1.90659,1.857314,1.772526,1.68035,1.600704,1.508112,1.570768,1.804316,1.887608,1.810802,1.589408,1.463594,1.24942,1.064796,1.51395,1.003078,1.070744,0.765378
2010,7,14,0.74808,0.298192,0.473796,1.428798,1.49785,1.389484,0.966188,0.638082,0.545342,0.642634,0.618192,0.48532,0.551352,0.557806,0.542066,0.85034,0.463004,0.236508,0.206626,0.285266,0.454414,0.177066,0.077892,0
2010,7,15,0.094656,0.073994,0,0,0,0,0.071532,0,0,0,0,0.113574,0.261666,0.728414,0.536324,0.405922,0,0,1.99891,1.991622,1.929734,1.33159,0.920712,1.38851
2010,7,16,1.443552,1.717422,1.770556,1.768696,1.777026,1.729372,1.010866,1.084268,1.117532,1.389728,1.663412,1.813096,1.87449,1.864176,1.925128,1.914736,1.829438,1.863236,1.891922,1.839408,1.585336,1.705206,1.415518,1.829054
2010,7,17,1.967168,1.983644,1.986334,1.98672,1.989388,1.95963,1.960582,1.858046,1.741186,1.74847,1.899624,1.820732,1.670398,1.692894,1.296322,1.482784,1.427854,1.370354,1.39943,1.583778,1.451894,1.563158,1.594796,1.761132
2010,7,18,1.849542,1.985858,1.990122,1.991314,1.993632,1.989682,1.889236,1.863786,1.89992,1.954108,1.960462,1.963466,1.960292,1.97173,1.983118,1.988762,1.987224,1.980224,1.95848,1.94641,1.947854,1.921274,1.752312,1.683402
2010,7,19,1.481442,1.03887,0.590096,0.328292,0.13325,0.125566,0.108578,0,0.095816,0.14202,0.08638,0.24757,1.503324,1.961394,1.971502,1.95505,1.94798,1.88211,1.802474,1.099686,1.657674,1.621734,1.440758,1.756106
2010,7,20,1.982258,1.99776,1.998952,1.996596,1.997922,1.992588,1.864098,1.688018,1.617518,1.731488,1.737618,1.75402,1.704904,1.585532,1.614196,1.504634,1.509414,1.541882,1.877362,1.926592,1.870138,1.73275,1.747402,1.950146
2010,7,21,1.99753,1.92151,1.97269,1.996808,1.982596,1.98462,1.795406,1.82732,1.599566,1.525924,0.721146,1.244154,0.622008,0.281074,0.19904,0.122062,0,0,0.08993,0.071882,0,0,0,0
2010,7,22,0,0,0,0,0,0,0,0,0,0,0.135256,0.366066,0.47466,0.701214,0.824298,0.950784,1.360692,1.573748,1.673358,1.762662,1.812472,1.83191,1.781926,1.824594
2010,7,23,1.669902,1.419328,1.716248,1.837402,1.791564,1.508546,0.8667,0.823544,0.657078,0.447276,0.332864,0.265488,0.297728,0.490098,0.736906,1.116722,1.365654,1.619356,1.651006,1.73803,1.745254,1.734706,1.815466,1.902306
2010,7,24,1.875574,1.861738,1.639854,1.357706,0.813536,0.684336,0.359584,0.28716,0.261052,0.554084,0.75598,0.872354,0.749274,0.9484,1.02647,1.69956,1.741458,1.566774,0.683884,0.84145,1.16715,1.541466,1.528468,1.691484
2010,7,25,1.943166,1.986646,1.96163,1.930864,1.922348,1.921368,1.848254,1.49785,1.183522,0.902662,1.12564,0.868498,0.797646,1.186202,1.463364,1.736372,1.612528,1.52167,1.579668,1.594796,1.445644,1.41671,1.550758,1.68468
2010,7,26,1.808802,1.772772,1.661564,1.717128,1.771788,1.607866,1.152888,0.633768,0.661718,0.621158,0.703284,1.143724,1.528044,1.33715,0.768526,0.77557,0.633122,0.699606,0.880346,0.603924,0.521796,0.727944,0.53423,0.540148
2010,7,27,0.914944,1.40738,1.85251,1.844152,1.651866,1.251786,1.42809,1.56215,1.27429,1.100498,1.100498,1.197702,1.1359,0.960338,0.675544,0.570682,0.503206,0.545342,0.444478,0.413274,0.402136,0.551352,0.24198,0.123502
2010,7,28,0.146732,0.248156,0.170046,0.307816,0.15928,0.208522,0.224486,0.257998,0.180066,0.199596,0.21119,0.355364,0.424042,0.504478,0.392288,0.408972,0.40943,0.47953,0.267994,0.201592,0.40048,0.510506,0.429116,0.40989
2010,7,29,0.737616,1.379706,1.602408,1.558104,1.12807,0.63119,0.739986,1.00281,1.168494,1.40762,1.301474,1.174134,0.95954,0.918614,1.149924,0.76562,0.684562,0.52273,0.56491,0.586622,0.706742,0.68819,0.426732,1.027278
2010,7,30,1.392646,1.03186,1.16742,1.327282,1.22114,1.193962,1.045886,0.543222,0.33108,0.299932,0.343096,0.455418,0.383662,0.235298,0.246502,0.408972,0.480228,0.599564,0.69092,0.83563,0.714154,0.780204,0.418864,0.543798
2010,7,31,0.851614,0.843478,0.71648,0.801356,1.117802,1.364416,1.07372,0.604756,0.663936,0.756222,0.584384,0.550964,0.507394,0.576496,0.649172,0.915992,1.032938,1.094006,1.12861,1.266202,1.174402,1.339418,1.384604,1.708224
2010,8,1,1.856496,1.974482,1.986016,1.988908,1.98691,1.982704,1.95158,1.758308,1.744444,1.691956,1.536462,1.590374,1.50898,1.396286,1.09103,0.76248,0.397186,0.26136,0.077104,0,0,0,0,0
2010,8,2,0.232068,0.418552,0.512344,0.764412,1.155044,1.44169,1.109152,0.86311,1.089678,1.22512,1.09157,1.622282,1.696474,1.773994,1.694766,1.562554,1.459708,1.398464,1.131582,1.222998,0.857226,0.82505,0.47345,0.570282
2010,8,3,0.527608,0.869782,1.035364,1.005494,0.985398,0.731946,0.440392,0.641548,0.583368,0.466236,0.477786,0.516776,0.376622,0.361504,0.406986,0.567492,0.63076,0.853398,0.808306,0.920974,0.885776,0.827312,0.484614,0.509956
2010,8,4,1.088866,1.264894,1.577898,1.566374,1.396528,1.160964,0.719512,0.638514,0.512528,0.473278,0.499046,0.899796,1.36094,1.75139,1.824102,1.876006,1.92193,1.95766,1.970062,1.985998,1.989778,1.990226,1.992232,1.99732
2010,8,5,1.998322,1.999428,2,2,2,2,1.99818,1.986274,1.97314,1.967788,1.888782,1.838042,1.915392,1.88286,1.665084,1.828766,1.881628,1.552602,1.518034,0.72536,0.545728,0.146202,0,0.321664
2010,8,6,0.34626,0.147028,0,0,0,0,0.079722,0.32117,0.110488,0,0.089346,0.081262,0.112202,0.217138,0.178774,0.179492,0.149776,0.166338,0.171072,0.174882,0.1596,0.187782,0.166738,0
2010,8,7,0.126842,0.114128,0.13857,0.242266,0.39214,0.424516,0.30568,0.190728,0.102084,0.074236,0.076726,0.096598,0.105796,0.116558,0.236508,0.373074,0.335172,0.64003,0.635492,0.4917,0.748558,0.76248,0.767798,0.8907
2010,8,8,1.03914,1.199572,1.022162,0.655536,0.438604,0.142422,0,0.165604,0.331716,0.25209,0.170114,0.271156,0.61313,0.142766,0.652678,0.601016,0.082832,0,0.249624,0.891998,1.37848,0.823544,0.722316,1.359696
2010,8,9,1.58728,1.667418,1.77375,1.874996,1.860942,1.858776,1.845384,1.433974,1.292192,1.250734,1.247314,1.265416,1.1475,0.991284,0.665936,0.522544,0.333248,0.31601,0.310566,0.443986,0.525352,0.501032,0.360268,0.58033
2010,8,10,0.710906,0.72583,0.669502,0.587642,0.66194,0.872612,0.566696,0.254478,0.34048,0.247278,0,0,0,0,0,0,0,0,0,0,0.13101,0.112612,0.076602,0
2010,8,11,0,0,0,0,0,0,0,0,0,0,0,0.08263,0.08243,0.102416,0.178846,0.250804,0.229062,0.209852,0.19605,0.234834,0.265488,0.367876,0.223422,0.100848
2010,8,12,0.595228,0.40775,0.51069,0.378192,0.443986,0.43424,0.270416,0.149114,0.171828,0.203446,0.188986,0.277804,0.341654,0.614604,0.884482,0.99075,0.91573,1.304816,1.522736,1.60373,1.65135,1.640558,1.448426,1.709274
2010,8,13,1.750066,1.736512,1.920282,1.958682,1.964766,1.972908,1.855344,1.250472,1.185398,0.903966,1.10753,1.425966,1.672702,1.808908,1.856496,1.831436,1.871258,1.938706,1.945394,1.984524,1.991856,1.991602,1.99165,1.995794
2010,8,14,1.996784,1.99647,1.995644,1.991794,1.97834,1.914382,1.552602,0.967254,1.019202,1.61364,1.968124,1.995916,1.999278,2,1.997118,1.994752,1.78475,1.032398,1.253362,1.483008,1.881972,1.798304,1.416948,1.884822
2010,8,15,1.997182,1.99739,1.998378,1.981688,2,1.996966,1.992994,1.986094,1.973666,1.961818,1.929734,1.946248,1.954718,1.943338,1.8959,1.796078,1.593454,1.567174,1.456956,0.750708,0.79814,1.04049,0.385838,0.561744
2010,8,16,1.373314,1.773384,1.434678,1.41909,1.76177,1.655632,1.109692,0.918614,1.531422,1.14723,0.809798,0.811292,0.796906,0.779714,0.805324,0.871326,0.81204,0.907882,0.95264,0.981924,1.025932,1.102662,1.086702,1.40642
2010,8,17,1.525076,1.872662,1.890202,1.910328,1.842554,1.728946,1.258348,1.134822,1.674178,1.921556,1.981982,1.990252,1.992376,1.993912,1.992286,1.99084,1.987428,1.989128,1.980576,1.970792,1.956026,1.961912,1.937738,1.966864
2010,8,18,1.984174,1.98776,1.73275,1.671222,0.503388,0.276506,0.64677,1.22114,0.630976,0.657298,0.389492,0.677342,0.438442,0.53423,0.76562,0.650704,0.242362,0.239324,0.08666,0,0,0.07704,0.231244,0.248742
2010,8,19,0.211526,0.146438,0.62584,1.50833,1.758436,1.02674,0.270946,0.08982,0,0.10279,1.36986,1.832476,1.926284,1.931072,1.944628,1.939916,1.899624,1.91899,1.948982,1.985726,1.996198,1.987176,1.998664,1.999158
2010,8,20,1.996942,1.99589,1.985832,1.93279,1.766574,1.418614,0.925178,0.40943,0.253978,0.221924,0.094656,0.18466,0.124002,0.130008,0,0.185398,0.27737,0.42074,0.829326,1.371836,1.484792,1.434678,1.29993,1.744038
2010,8,21,1.982082,1.989362,1.987088,1.998436,1.99922,1.99926,1.99523,1.965556,1.878988,1.784048,1.713888,1.724526,1.769814,1.797416,1.773138,1.846258,1.764056,1.7161,1.6826,1.536252,1.381424,1.515888,1.85493,1.946248
2010,8,22,1.99848,1.999594,2,2,2,2,2,1.999138,1.99921,1.999194,1.99231,1.873176,1.420278,1.81993,1.723808,1.90265,1.894672,1.78916,1.886356,1.962536,1.956506,1.992228,2,2
2010,8,23,1.619602,1.64303,0.109062,0,2,1.998228,2,1.99934,1.975892,1.977212,1.960992,1.929524,1.948106,1.947024,1.865418,1.88087,1.837126,1.899802,1.898794,1.88728,1.873104,1.709574,1.98826,1.96907
2010,8,24,1.99956,2,2,2,2,2,1.999284,1.996854,1.95825,1.898198,1.788124,1.754672,1.711066,1.672538,1.36094,1.174672,1.185666,1.448426,1.615676,1.783106,1.82674,1.796526,1.940458,1.985184
2010,8,25,1.989388,1.993676,1.995766,1.995584,1.99377,1.988748,1.97352,1.819026,1.69117,1.632218,1.664248,1.73303,1.766448,1.795182,1.789506,1.716982,1.67695,1.719902,1.69632,1.755586,1.80182,1.77068,1.856988,1.900564
2010,8,26,1.958174,1.97129,1.966946,1.947088,1.914534,1.844152,1.556274,1.018126,0.998518,0.893036,0.803586,0.85697,0.761998,0.695482,0.593582,0.51585,0.44744,0.633338,0.558198,0.570282,0.406682,0.343228,0.245146,0.26957
2010,8,27,0.161016,0.247862,0.202154,0.208938,0,0,0,0.07704,0.081362,0.23923,0.133628,0.35808,0.501756,0.529304,0.843478,0.757904,0.94734,1.460852,1.836666,1.882724,1.865186,1.891542,1.73219,1.91684
2010,8,28,1.958808,1.941492,1.614196,1.812576,1.912688,1.971678,1.995328,1.993058,1.94237,1.939734,1.899742,1.860704,1.83332,1.825474,1.967148,1.872368,1.861022,1.507026,0.954496,1.391916,1.395316,1.40762,1.907852,1.843886
2010,8,29,1.59671,1.745792,1.906148,1.90659,1.914534,1.888132,1.703232,1.445876,1.446108,1.485016,1.32931,0.955292,0.834872,1.646506,1.81268,1.735956,1.78393,1.850566,1.862212,1.661732,1.736234,1.810698,1.886222,1.959358
2010,8,30,1.942196,1.888,1.846782,1.834442,1.764436,1.470412,1.144804,0.73809,0.470004,0.417616,0.330698,0.31981,0.33197,0.342572,0.45945,0.65224,0.687282,0.84805,1.122126,1.278194,0.991552,0.573684,0.549408,0.750468
2010,8,31,1.02297,0.572682,0.618404,0.400932,0.165406,0.090922,0,0.175724,0.488678,0.646116,1.148578,1.278194,1.324996,1.557088,1.715218,1.698638,1.662908,1.873542,1.944224,1.966802,1.989494,1.983594,1.984942,1.99737
2010,9,1,1.998526,1.998042,1.998248,1.998632,1.997976,1.996492,1.986762,1.878284,1.52762,1.558914,1.708974,1.7865,1.721788,1.63436,1.551372,1.726958,1.619722,1.432094,1.26123,1.674994,1.673686,1.66725,1.979678,1.991122
2010,9,2,1.98681,1.994436,1.995404,1.989656,1.969032,1.944492,1.9701,1.912792,1.454428,1.451894,1.0063,1.76062,1.80689,1.771912,1.92833,1.874924,1.807636,1.73554,1.50594,1.537298,1.685,1.380442,1.695078,1.83602
2010,9,3,1.708824,1.850396,1.897056,1.824594,1.82003,1.792246,1.619172,1.374546,0.608306,0.364262,0.2582,0.213042,0.27382,0.430232,0.59112,0.581948,0.501214,0.687282,0.85595,0.899536,0.738802,0.421682,0.109064,0.41575
2010,9,4,0.422468,0.421682,0.476396,0.581746,0.596878,0.509406,0.403344,0.237818,1.167956,1.44239,1.434442,1.430212,1.808378,1.873908,1.89986,1.961864,1.97883,1.97394,1.997112,1.985358,1.747536,1.965662,1.995484,1.9971
2010,9,5,1.998424,1.988614,1.988202,1.988268,1.991324,1.982886,1.949934,1.884082,1.832476,1.921086,1.852426,1.901322,1.840042,1.904752,1.91305,1.93878,1.915894,1.803884,1.645288,1.44239,1.326774,1.47222,1.945394,1.973256
2010,9,6,1.94895,1.897538,1.841662,1.776786,1.65495,1.547468,1.23835,0.977116,0.436822,0.345466,0.330952,0.283274,0.148456,0.10827,0.09826,0.109418,0.07821,0,0,0,0.089966,0.146556,0,0
2010,9,7,0,0,0,0.07524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100318,0.105796,0,0.2045
2010,9,8,0.187034,0.200232,0.249036,0.291776,0.47052,0.53271,0.502482,0.462156,0.416216,0.323528,0.386712,0.563326,0.783138,0.930176,0.968052,0.899276,0.84221,0.64961,0.785096,0.908926,0.82505,0.648954,1.009792,1.350466
2010,9,9,1.56557,1.70308,1.503106,1.37553,1.704752,1.548086,1.369614,0.51956,0.353606,0.607886,0.887848,1.449352,1.82282,1.946992,1.992324,1.998722,1.999376,2,1.999538,1.999236,1.99936,2,2,2
2010,9,10,1.999612,1.999026,1.998296,1.998132,1.998082,1.99745,1.996318,1.970666,1.638618,1.3958,0.837906,0.654216,0.227616,0,0,0.10964,0.307578,0.984328,1.462452,1.402328,1.542088,1.474704,1.404496,1.916642
2010,9,11,1.996588,1.999624,1.999468,1.997746,1.994992,1.99011,1.97927,1.9955,1.998544,1.989248,1.92738,1.817508,1.879548,1.802148,1.729088,1.798192,1.554644,1.69305,1.63436,1.567776,1.544162,1.619172,1.992106,1.994868
2010,9,12,1.998034,1.999,1.999166,1.988628,1.854764,1.911802,1.990702,1.970666,1.621186,1.208374,0.728178,0.520492,0.239324,0.196206,0.199198,0.181512,0.17169,0.337752,0.276722,0.315522,0.411118,0.223688,0,0
2010,9,13,0,0.08638,0.092076,0,0,0,0,0,0.104982,0.147978,0.128702,0.132232,0.158132,0.199358,0.366204,0.410504,0.536706,0.723252,0.9215,0.919138,0.865418,0.632908,0.783872,0.615446
2010,9,14,1.492562,1.400396,1.086432,0.650266,1.18379,0.897974,0.181948,0,0.323902,0.33633,0.37096,0.886812,1.609362,1.904246,1.983378,1.991078,1.884284,1.959384,1.852342,0.459958,0,0.868242,0.17985,1.944122
2010,9,15,1.890458,0.706742,0.484438,0.318212,0.665268,0.608306,1.512656,1.843,1.800728,1.806142,1.48457,1.436552,1.7161,0.815034,0.349982,0.73667,0.616502,1.501796,1.700482,1.513088,1.132662,0.841956,1.196368,1.064256
2010,9,16,0.800862,0.658402,0.65246,0.69594,0.634846,0.77265,0.486378,0.281842,0.153498,0.096874,0,0,0,0.11981,0.233816,0.220608,0.221046,0.304026,0.488148,0.683884,0.865162,0.555452,0.759106,0.966188
2010,9,17,1.57474,1.70308,1.812784,1.830868,1.838498,1.82915,1.664918,0.819784,0.61334,1.021354,1.196902,1.520816,1.489462,1.329818,0.964326,0.813786,0.838158,0.75502,0.804828,0.957416,1.15935,0.988608,1.750464,1.875934
2010,9,18,1.928544,1.947886,1.910698,1.791792,1.670232,1.670892,1.678734,1.453738,0.659286,0.699836,0.724422,0.664824,0.480404,0.61629,0.780692,0.700294,0.497068,0.389638,0.239324,0.234278,0.279544,0.209104,0.235206,0.294396
2010,9,19,0.226538,0.160306,0.145146,0.093966,0.118172,0,0,0,0.416372,0.20679,0.156804,0.19195,0.334914,0.557806,0.870812,1.168762,1.369614,1.570172,1.643892,1.553418,1.73219,1.535414,1.43538,0.536324
2010,9,20,0.655536,0.88707,0.595228,0.959806,1.384116,1.355462,0.458104,0.24179,0,1.404496,1.8171,1.740092,1.826934,1.766198,1.493004,1.250472,0.696626,0.50357,0.6006,0.796412,0.843478,0.688872,1.581628,1.669076
2010,9,21,1.966904,1.84371,1.656144,1.631502,1.99789,1.81742,2,1.996406,1.988762,1.992588,1.9877,1.975166,1.96581,1.939076,1.931894,1.880592,1.725958,1.582606,1.559928,1.57711,1.457186,1.68786,1.926372,1.871776
2010,9,22,1.906258,1.84468,1.867722,1.907798,1.938632,1.943986,1.94641,1.92803,1.607492,1.61586,1.616414,1.728664,1.874344,1.932222,1.928416,1.90747,1.872146,1.95524,1.908774,1.85526,1.729938,1.937738,1.99126,1.994928
2010,9,23,1.997214,1.99737,1.997552,1.99798,1.9983,1.999386,2,1.999586,1.999454,1.99881,1.999262,1.991044,1.990468,1.9872,1.887934,1.800178,1.33412,1.461538,1.269596,1.76969,1.809646,1.904696,1.959828,1.981006
2010,9,24,1.98792,1.989746,1.995808,1.999168,1.961134,1.700176,1.923224,1.81268,0.917564,1.218484,1.910114,1.929692,1.241254,1.949964,1.81649,1.971202,1.90033,1.907032,1.969692,1.982896,1.910698,1.672538,1.99511,1.909098
2010,9,25,1.894796,1.942822,1.96751,1.9851,1.958148,1.959258,1.720628,1.795518,0.997178,1.399672,1.196634,1.054798,0.869782,1.105096,0.78755,1.112126,0.88138,0.827312,0.564316,0.325526,1.01947,0.742124,1.156928,1.204642
2010,9,26,1.014898,0.786322,0.605798,0.854418,0.867472,0.758866,0.60434,0.636138,0.391404,0.207366,0.093776,0.073934,0.080112,0.152206,0.168688,0.13309,0.117744,0.125974,0.099022,0.103882,0.093928,0,0,0.079236
2010,9,27,0.117696,0.17032,0.250214,0.389346,0.50721,0.481804,0.249428,0,0,0,0,0,0.223688,0.603508,0.931494,1.17816,1.412412,1.58728,1.780502,1.843444,1.799518,1.835742,1.918844,1.916592
2010,9,28,1.863472,1.643716,1.772158,1.926636,1.97324,1.985312,1.975682,1.824398,1.817914,1.922116,1.931894,1.957192,1.841124,1.644066,1.499168,1.4093,1.731768,1.736788,1.638266,0.372792,0,0,0.07995,0.360132
2010,9,29,0.578914,0.358764,0.328924,1.032398,1.947568,1.853934,1.658184,1.253888,1.01947,1.156928,0.961402,0.833358,0.536706,0.327284,0.339958,0.424358,0.525728,0.753342,0.630546,0.693656,0.592966,0.480228,0.473278,0.381206
