Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2010,7,1,1.9642035,2.075115,2.0559735,1.6036398,1.308153,1.3370175,1.6721313,2.0463933,2.0116572,1.8616122,1.7371935,1.7764488,1.7891916,1.6332015,1.5552747,1.7347659,1.7744097,1.6529541,1.6372944,1.4402283,1.5640065,1.5632169,0.7283367,1.453116
2010,7,2,1.8269706,1.8271302,1.7863146,1.8595899,1.5359337,1.8371367,1.6802688,1.6148622,1.601376,1.398768,0.9011772,0.6849423,0.3898251,0.2637957,0.3535329,0.450387,0.4073181,0.3830442,0.3140928,0.3217116,0.2090424,0.1409289,0.1089081,0.0778071
2010,7,3,0.3949344,0.2526405,0.1608894,0.1316763,0.1522017,0.1167705,0,0,0,0,0,0.1288287,0.1463532,0.2056824,0.2798124,0.3228981,0.4029732,0.4492005,0.5450319,0.382011,0.4731825,0.645813,0.4319238,0.1717002
2010,7,4,0.1072722,0.0856569,0,0,0,0,0,0,0,0.1650537,0.5494083,0.8586732,0.9117759,0.7512036,0.7913724,0.9042894,0.9246174,0.9454179,0.8308356,0.8158878,0.8206569,0.9488997,0.4067742,0.2734809
2010,7,5,0.4317327,0.2939685,0.3003105,0.3484152,0.4415607,0.5798268,0.6827898,1.0766784,1.6121343,1.541883,1.666875,1.6454067,1.6249443,1.6730406,1.6396905,1.3128822,1.2311796,1.0477614,0.7160895,0.4858686,0.6002829,0.6841338,0.5343135,0.2754045
2010,7,6,0.2809905,0.1494297,0.1206429,0.0698376,0,0,0,0,0,0,0.5812716,0.6876408,0.4909338,0.6316569,0.7946001,0.7163667,0.5524197,0.5832015,0.5210898,0.4802196,0.6455526,0.8709036,0.4682643,0.2072574
2010,7,7,0.1584261,0,0,0,0,0,0,0,0,0.7171983,1.2049821,1.1591454,1.2434226,1.1545842,0.9167781,0.7823172,0.5719308,0.566475,0.5381712,0.4988235,0.5594148,0.7614978,0.6742197,0.2965746
2010,7,8,0.2296602,0.227493,0.1358952,0.6037416,0,0.1653729,2.0818056,0.0827274,0.0930048,0.9714684,0,0.0825258,0.4002789,1.1134977,1.1861556,1.0448445,0.6681024,1.1298042,1.8322521,1.7035914,1.7948826,1.9754763,1.9738488,2.0525862
2010,7,9,2.010477,1.5739605,1.891176,2.0035323,2.0603331,2.0810475,2.0370924,2.0463576,2.0450724,2.0540772,2.0829606,2.055732,2.0568051,2.0130516,2.0766732,2.0811924,2.0706903,2.068479,2.0975388,2.0980512,2.094309,2.0495307,2.0683719,2.0910456
2010,7,10,2.0857473,2.0540457,1.8951303,1.6622676,1.7983959,1.8514965,1.4233611,1.4661696,1.6822848,2.0348958,1.9131168,1.9181904,1.6705353,1.6310259,1.4725032,1.7369919,1.8419457,1.9456353,1.9030872,1.9189842,1.9653375,1.9991097,1.9987779,2.0670216
