Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2010,7,1,0.941641,0.926987,0.910727,0.890358,0.907853,0.933209,0.933642,0.917686,0.964763,0.976449,0.981763,0.979922,0.957188,0.958048,0.963967,0.975976,0.979922,0.966112,0.947088,0.928691,0.908929,0.870266,0.853562,0.872438
2010,7,2,0.868212,0.93305,0.947927,0.963963,0.944045,0.888432,0.725567,0.758414,0.755185,0.751334,0.729248,0.734052,0.735201,0.744035,0.791743,0.840319,0.820526,0.811657,0.779712,0.782555,0.802694,0.799907,0.820425,0.894827
2010,7,3,0.929454,0.933065,0.927525,0.913827,0.86642,0.846527,0.770407,0.814365,0.869131,0.907024,0.928692,0.929333,0.898168,0.806816,0.616794,0.470645,0.412382,0.437511,0.44775,0.407874,0.376899,0.305479,0.24369,0.260284
2010,7,4,0.207427,0.148257,0.115524,0.097606,0.094044,0.090759,0.112952,0.110563,0.109772,0.100252,0.102409,0.112082,0.116146,0.129543,0.134159,0.135562,0.141952,0.17358,0.212394,0.236871,0.246265,0.26796,0.232426,0.161388
2010,7,5,0.105956,0.167961,0.215292,0.239303,0.207707,0.155379,0.15466,0.180779,0.271893,0.288107,0.228209,0.18769,0.181255,0.162682,0.154282,0.144488,0.118129,0.105475,0.105574,0.113575,0.144302,0.170302,0.160931,0.139268
2010,7,6,0.089478,0.063622,0.068911,0.063212,0.056298,0.038182,0.06679,0.078665,0.110532,0.134734,0.145426,0.147496,0.152384,0.174289,0.21585,0.290341,0.347496,0.440422,0.522093,0.578987,0.621163,0.686791,0.701429,0.707764
2010,7,7,0.375269,0.246745,0.234164,0.197858,0.147367,0.104951,0.131139,0.177623,0.250408,0.353474,0.440141,0.521909,0.539614,0.604544,0.611625,0.606558,0.587549,0.614794,0.608483,0.621602,0.63338,0.653626,0.641082,0.52901
2010,7,8,0.317969,0.35268,0.367419,0.395366,0.454858,0.466553,0.569348,0.778539,0.956518,0.978875,0.806306,0.851186,0.691306,0.441752,0.20779,0.286416,0.258507,0.267896,0.191232,0.151494,0.140718,0.144672,0.175659,0.171036
2010,7,9,0.302272,0.422289,0.490336,0.704803,0.849295,0.916739,0.936346,0.95978,0.976381,0.979892,0.986552,0.988708,0.993261,0.996284,0.995187,0.995679,0.997002,0.997129,0.997508,0.999243,0.999494,0.999099,0.999202,0.999788
2010,7,10,0.999159,0.977116,0.990578,0.990739,0.988767,0.990537,0.972506,0.968379,0.962476,0.952836,0.944056,0.925645,0.906774,0.8958,0.876368,0.891662,0.884077,0.89983,0.891174,0.768116,0.719372,0.798,0.843706,0.855661
2010,7,11,0.846637,0.868645,0.842539,0.827514,0.846515,0.851227,0.848443,0.851778,0.820078,0.813871,0.849258,0.848567,0.82798,0.806704,0.705179,0.596237,0.539169,0.522902,0.418905,0.439959,0.390355,0.358364,0.287679,0.190224
2010,7,12,0.135407,0.145464,0.132019,0.138305,0.145111,0.147595,0.201568,0.311327,0.34625,0.33084,0.322288,0.31195,0.28076,0.265806,0.251407,0.26014,0.264374,0.28173,0.25746,0.274577,0.29055,0.349277,0.32632,0.279831
2010,7,13,0.220415,0.186747,0.149281,0.135196,0.107139,0.063067,0.064918,0.087534,0.096198,0.098366,0.119968,0.12191,0.118472,0.120606,0.083611,0.055037,0.045056,0.034473,0.042888,0.046768,0.040993,0.036001,0.032397,0.01658
2010,7,14,0.00319,0.002561,0.004566,0.006361,0.008181,0.011686,0.02031,0.022748,0.018244,0.0151,0.024512,0.032326,0.055168,0.058199,0.066991,0.06552,0.066493,0.055074,0.058734,0.052406,0.053039,0.047319,0.032968,0.031073
2010,7,15,0.02874,0.019686,0.019529,0.021623,0.022663,0.022557,0.031222,0.031777,0.036815,0.043437,0.061923,0.065535,0.081842,0.10849,0.114758,0.086685,0.076829,0.12059,0.291052,0.267548,0.473207,0.525602,0.482969,0.395551
2010,7,16,0.512134,0.608195,0.646226,0.661035,0.605553,0.519838,0.436466,0.379557,0.331283,0.228903,0.140604,0.083739,0.058915,0.03995,0.040149,0.069559,0.124416,0.185573,0.27434,0.396988,0.51001,0.621906,0.716835,0.714774
