Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2010,7,1,1.227462,1.1232435,1.2107745,1.21506,1.37814,1.4229075,1.245549,1.185258,1.5,1.438551,1.42608,1.5,1.3305585,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.371114,1.4124705,1.3836375,1.3728495
2010,7,2,1.279449,1.5,1.5,1.5,1.2821415,1.1440875,0.5212575,1.151964,1.2290355,1.354563,1.379895,1.352862,0.9440505,1.093557,1.012014,1.339296,1.1130705,1.258452,1.112826,1.373172,1.2984075,1.2763905,1.261692,1.115505
2010,7,3,1.145019,1.110627,1.1549475,1.305105,1.127082,1.235844,0.666501,1.0746015,0.908343,1.040046,1.0786785,1.0697355,1.125645,1.114776,1.11672,0.7981095,0.313638,0.2213475,0.3814275,0.704058,0.623274,0.263451,0.1843065,0.1586355
2010,7,4,0.097413,0.068208,0.0568725,0.0763065,0.078882,0.07101,0.0942855,0.0660465,0.0692115,0.129483,0.099489,0.0690375,0.0610575,0.061644,0,0,0,0,0.0491415,0.1055025,0.0943335,0.1201215,0.0949995,0.091995
2010,7,5,0,0,0.0898485,0.1659,0.1397685,0.102735,0.0966825,0.103407,0.1860495,0.285951,0.427872,0.284022,0.188553,0.197526,0.178551,0.103719,0.0753915,0.0619245,0.066747,0.0645015,0.2201535,0.3319875,0.37347,0.395742
2010,7,6,0.118095,0,0,0,0,0,0.0515505,0.0606585,0.0954765,0.132297,0.1471395,0.149283,0.217677,0.3672075,0.596505,0.929475,0.913425,1.0852665,1.22766,1.305105,1.2727815,1.318407,1.3484085,1.3942575
2010,7,7,0.67767,0.3830355,0.3489615,0.3224655,0.2512905,0.172797,0.291669,0.5237715,0.8079915,1.0318335,1.1363475,1.2734715,1.2593565,1.323861,1.331244,1.330971,1.321581,1.353957,1.3548045,1.400067,1.394988,1.4125485,1.343457,1.091304
2010,7,8,0.5789685,0.577257,0.6688875,0.7253565,0.7817865,0.849939,1.013631,1.442598,1.5,1.5,1.5,1.5,1.5,0.4181505,0,0.0990405,0.1020165,0,0.0891735,0,0,0.1115955,0.1759125,0.2174625
2010,7,9,0.3028365,0.6240405,0.863283,1.269477,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
2010,7,10,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.458141,1.4445015,1.435062,1.4639805,1.4545155,1.430268,1.4383275,1.453584,1.440147,1.4463945,1.421451,1.4017965
2010,7,11,1.360971,1.4199675,1.3523715,1.447317,1.448745,1.4635425,1.252614,1.279449,1.1859075,1.2540825,1.378452,1.3595685,1.2037455,1.1391735,0.976545,0.6501795,0.471324,0.665178,0.685164,0.8272395,0.674736,0.411834,0.1281315,0.0764985
2010,7,12,0.054024,0.0903465,0.0898035,0.092364,0.1503285,0.26967,0.3324615,0.605016,0.505911,0.4135485,0.329466,0.297492,0.145752,0.1835775,0.231009,0.2374365,0.235122,0.215439,0.1661475,0.2472735,0.45606,0.6675615,0.417189,0.39888
2010,7,13,0.314994,0.257367,0.254994,0.2944965,0.3045885,0.1823985,0.18042,0.2454675,0.186603,0.1878075,0.258372,0.251904,0.218859,0.220371,0.1585575,0.1463355,0.136869,0,0,0,0,0,0,0
2010,7,14,0,0,0,0,0,0,0,0,0,0,0.058587,0.0830325,0.1292895,0.097023,0.132363,0.1103715,0.118806,0,0.0585585,0,0,0,0,0
2010,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088371,0.4673145,0.2290905,0.7399635,0.6702135,0.362913,0.3404625
