Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2010,7,1,2.1,2.0992503,2.099076,2.09937,2.0992461,2.0986686,2.0990214,2.0991621,2.0994918,2.1,2.1,2.099601,2.0996241,2.0994141,2.0985741,2.0979672,2.0994624,2.0986896,2.0981919,2.0958168,2.0967345,2.0967282,2.0938344,2.094855
2010,7,2,2.0864046,2.0825994,2.0756652,2.0705181,2.0725215,2.0483232,1.9355133,1.5534771,1.5102801,1.6881858,1.6931481,1.6715034,1.6738071,1.5084006,1.3547226,1.2121515,1.2026721,1.3627131,1.1173302,1.0023363,0.7849758,0.4170054,0.2766939,0.309288
2010,7,3,0.2560635,0.285096,0.1928619,0.1535772,0.3705408,1.0634673,0.7991592,0.6092352,0.5015388,0.3365187,0.254982,0.2271024,0.1268253,0.1170204,0.1012893,0.1339485,0.1700664,0.1944243,0.1175979,0.1400784,0.1786449,0.335307,0.5207286,0.4600575
2010,7,4,0.3568068,0.2846487,0.1889559,0.1107141,0,0,0,0.0839937,0.135345,0.2746653,0.3217305,0.21357,0.1379553,0.083349,0,0.0683571,0.0930615,0.1096263,0.1597008,0.3051321,0.3284568,0.2864442,0.1213275,0.120666
2010,7,5,0.1782585,0.1963164,0.1877379,0.2030742,0.2004744,0.2533692,0.3038637,0.4560003,0.644679,0.8550948,0.6050415,0.7312074,0.9127125,1.0525074,1.2553107,1.4156793,1.4112987,1.427076,1.2725958,1.2625221,0.6022569,0.4275495,0.3989811,0.2432367
2010,7,6,0.3553494,0.4862088,0.4821999,0.419517,0.3904173,0.2876475,0.2087064,0.3062451,0.5068938,0.6546351,0.5157537,0.5792262,0.7016037,1.0495863,1.1613441,1.0810317,0.6516972,0.6293616,0.6817818,0.6697614,0.5655594,0.682689,0.5743752,0.2407944
2010,7,7,0.2561979,0.2608431,0.21924,0.1847244,0.1797096,0.2242128,0.2784453,0.6799695,1.0153773,1.2372255,1.2693597,1.2947886,1.0012527,1.1459469,1.1217339,1.13274,1.1411778,1.3079556,1.1602458,1.1231997,1.0652943,1.1287038,0.8816304,0.8585199
2010,7,8,0.7451661,1.3214103,1.085427,1.8813711,1.4750148,0.1120602,0.9477531,0.1330728,0.0674541,0.8691795,1.7899077,1.8012057,0,0,0.825888,1.6498692,1.8176256,1.7978709,1.9220397,2.0168652,2.0618367,2.0718117,2.0676096,2.0775846
2010,7,9,2.0869548,2.0504463,2.0575086,2.0857536,2.0936076,2.0947395,2.0864676,2.0913018,2.0929524,2.0887965,2.0842479,2.0808228,2.0820492,2.076039,2.0974863,2.0992503,2.0996976,2.0979252,2.0848506,1.99836,2.0440644,2.0457402,2.0196204,2.0384028
2010,7,10,2.0514207,2.0234466,2.0249859,2.0525946,2.0241333,1.9615554,1.2187035,0.7637952,1.3090203,1.7555097,2.0496084,2.0711712,2.0727336,2.0723073,2.0804763,2.0277012,1.9830027,1.9891935,1.9962327,1.9990362,2.0447826,2.0608266,2.0802936,2.0869149
2010,7,11,2.0727105,2.0479683,2.0252673,1.6717596,0.9663297,0.5602632,1.7266851,1.7401881,1.7271492,1.8758943,2.0475294,1.9772109,1.9338648,1.91772,1.9069176,1.9198914,2.0138916,2.0151684,2.0520108,2.0795922,2.0950713,2.0839266,2.0978202,2.0997018
2010,7,12,2.1,2.0995191,2.0994372,2.0985531,2.0953863,2.0934354,2.0938491,2.0620425,2.0718537,2.0260485,2.0598543,2.073645,2.0765346,2.0885655,2.0804763,2.0897184,2.0886558,1.8698274,2.0553057,2.0763519,2.0732754,2.0904975,2.095716,2.0969487
2010,7,13,2.0987778,1.8738867,1.3851159,2.0225793,1.8874674,0.2545788,0.1146075,0.0947142,0.0661248,0,0,0.4233054,0.5005686,0.76671,0.9409932,1.0117506,1.1415453,1.4357343,1.6203516,0.9699144,1.113294,1.2208854,1.3854582,1.1712351
2010,7,14,1.3919556,1.5777279,1.6684206,1.6001769,1.4782341,1.0280907,0.6182505,1.0153773,1.2205221,0.7230321,0.6333831,0.6354012,0.7676823,0.4717167,1.0397394,0.9969141,0.6590619,0.610638,1.3118574,0.8472366,0.8316231,0.7331016,0.4233054,0.3872715
2010,7,15,0.4387488,0.3311826,0.3880548,0.4024104,0.4593792,0.4657443,0.2089311,0.1815618,0.1024086,0.0631218,0,0,0,0,0,0,0,1.8371934,2.0870871,2.0866041,2.1,2.0992713,2.0977152,2.0978139
2010,7,16,2.0622168,1.9419582,1.5134049,1.1055912,0.9545277,0.4486335,0.135492,0.1522458,0.2575566,0.5695536,0.9130653,1.2549495,1.5748068,1.8898068,1.965705,1.9976817,2.0591382,2.0556459,2.0622756,2.0712174,2.0811042,1.9928076,1.9396818,1.8762009
2010,7,17,1.8458664,1.9318446,1.9678344,1.9160421,1.90365,1.8058635,1.0993563,1.2267024,1.69512,1.8561228,1.9513053,1.9960794,2.0532771,2.0466012,2.0580273,1.9746741,1.9829166,1.646946,1.0956897,0.8753955,0.8479191,0.9084978,1.0898244,1.3943433
2010,7,18,1.4623749,1.7462445,1.6694517,1.4733999,1.5205554,1.5486702,1.1763612,1.5380673,1.9765809,2.0699448,2.0867091,2.0921964,2.0927151,2.0850837,2.0886453,2.0905563,2.0920053,2.0919045,2.0959449,2.0962116,2.0953926,2.0943657,2.0917764,2.0912325
2010,7,19,2.0891577,2.0823663,2.0749386,2.0742897,2.0766627,2.0195007,1.8299022,1.956255,2.0001513,2.0690019,2.074149,2.0894832,2.0967744,2.0970558,2.0986161,2.0992503,2.099517,2.1,2.0996556,2.0987001,2.0950356,2.0844789,2.0450766,1.9484997
2010,7,20,1.930887,1.9884564,2.045988,2.0541969,2.0664147,2.0312628,1.2930057,1.5316497,1.5196251,1.2314211,1.6159143,1.2332355,1.1931801,0.9328326,0.804468,0.3957765,0.6114801,1.1433786,1.4623749,1.7782716,2.065707,2.0914635,2.0977866,2.0976627
2010,7,21,2.0944308,2.0538462,2.0461518,1.9835172,2.0669775,2.0772864,2.0804616,2.0369853,2.0005944,2.0408304,1.9929651,1.9589283,2.0043555,1.9936728,1.8226257,1.4354025,1.4913507,0.682689,0.2553873,0.1793211,0.1375794,0.0660513,0,0.0769377
2010,7,22,0.0690774,0,0,0,0,0,0,0,0,0,0,0,0,0.1343139,0.1706187,0.2039478,0.2508324,0.2778594,0.4605111,0.6487656,0.7663845,0.8499666,1.1836776,0.912009
2010,7,23,0.5510862,0.5947851,0.7199031,0.6242166,0.5340888,0.3868788,0.1396206,0,0,0.0804573,0.1080135,0.1867278,0.2378691,0.2853963,0.3213966,0.3791151,0.3656646,0.4733358,0.8380554,1.1774595,1.3761867,1.6936416,1.8600603,1.6758462
