Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2010,7,1,1.6844975,1.66992,1.7269175,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.7363675,1.75,1.73005,1.75,1.70177,1.7134775,1.731905
2010,7,2,1.6832375,1.69316,1.4779275,1.384285,1.1074875,1.1457775,0.9599975,0.95578,1.1546675,0.9798425,1.35121,0.963375,0.6433525,1.5701,1.4848925,1.002435,1.3430025,1.08969,1.0245725,0.9916725,1.2735275,1.302455,1.3487075,1.59278
2010,7,3,1.510285,1.3438425,1.4259525,1.4490525,1.461425,1.191225,1.26854,1.1851,1.019725,1.0767925,1.280475,1.16333,1.1349975,0.9868075,0.99694,0.8810725,0.5436725,0.4036025,0.1549975,0.0904225,0.088025,0.0971425,0,0
2010,7,4,0,0,0.0795725,0.1108275,0.11571,0.1016575,0,0,0,0,0,0,0.0912625,0.0974225,0.39403,0.3875375,0.369355,0.3002475,0.150815,0.3122525,0.306985,0.2472575,0.1399475,0.1017625
2010,7,5,0,0,0,0,0,0,0,0,0.095305,0.15995,0.15407,0.2007775,0.2254,0.2367575,0.2632175,0.1742475,0.1535625,0.1895075,0.1252825,0.1849925,0.14126,0.25438,0.1034075,0.10794
2010,7,6,0.1703625,0.1540175,0.146965,0.1319325,0.187215,0.1643775,0.135905,0.1303925,0.2207975,0.27482,0.3668,0.43946,0.5037725,0.55902,0.6204625,0.72317,0.796215,0.8663375,0.9067625,0.924595,0.9671725,0.927535,0.9292325,0.7903875
2010,7,7,0.5401725,0.4113375,0.46802,0.515025,0.45591,0.3235575,0.3260425,0.33887,0.361865,0.4974725,0.6390475,0.7903875,0.777805,0.86198,0.9061325,0.9542925,1.0264625,0.9931425,0.95746,0.98343,0.97181,1.019095,0.9534525,0.894845
2010,7,8,0.70749,0.78099,1.0064425,1.019095,1.1274375,1.02753,0.95872,1.75,1.75,1.75,0.5663875,0.2685725,0.470435,0.1659,0.6055,0.4168675,0.5138,1.134385,0.484015,0.5024075,1.3056575,1.4643475,1.686965,1.71983
2010,7,9,1.7003175,1.720495,1.7301025,1.7340575,1.72844,1.69876,1.7157,1.72627,1.7004575,1.7153675,1.707545,1.697675,1.723155,1.7365775,1.75,1.727915,1.7319225,1.7166625,1.7040975,1.701525,1.75,1.7341275,1.7311875,1.732255
2010,7,10,1.75,1.7350375,1.71976,1.665265,1.6819075,0.9684325,0.5187175,1.2149025,1.1467925,1.1184075,0.7044625,1.15528,0.8510425,0.95809,0.8869,0.581175,0.923545,1.457645,1.02795,1.0948875,1.1486125,1.152865,1.1932025,1.2032125
2010,7,11,1.5014475,1.677865,1.68749,1.712585,1.7039225,1.6024225,1.4542675,1.3054825,0.694085,0.52724,0.5369875,0.56721,0.6449625,0.6365625,0.365995,0.2268175,0.1248275,0.1312325,0.106645,0.1777475,0.2237025,0.240345,0.2023,0.08421
2010,7,12,0.1197175,0.2541175,0.3319225,0.24661,0.1376725,0.1530025,0.191345,0.1808275,0.1234975,0.1395625,0.1726375,0.1805825,0.2167025,0.28728,0.2727725,0.2638125,0.2542925,0.2385425,0.3028725,0.3256225,0.3032575,0.252385,0.2910075,0.32417
2010,7,13,0.2986025,0.230335,0.18172,0.122465,0.1030575,0.1041425,0.102375,0,0,0,0,0.079625,0,0,0,0,0,0,0,0,0,0,0,0.1084825
2010,7,14,0.1020775,0.112315,0.2244375,0.34146,0.2694475,0.2485525,0.1525825,0.1073975,0.1604925,0.0903,0,0,0,0.1563275,0.2653525,0.404355,0.4011,0.38199,0.370755,0.2187675,0.176155,0.1769775,0.1442525,0.0934675
