Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2010,7,1,0.923162,0.773113,0.765011,0.953669,0.950943,0.975137,0.902233,0.865149,0.887162,0.822177,0.803864,0.872746,0.962238,0.997462,0.983039,0.950889,0.860246,0.765721,0.724429,0.711785,0.750403,0.821116,0.835042,0.795834
2010,7,2,0.769416,0.90924,0.910893,0.970252,0.965989,0.951473,0.968326,0.985215,0.944182,0.984452,0.978419,0.955711,0.943107,0.933113,0.929581,0.917964,0.919395,0.947829,0.897063,0.883453,0.820317,0.78229,0.639828,0.84515
2010,7,3,0.910743,0.93447,0.935725,0.970825,0.975756,0.964997,0.989316,0.969341,0.967497,0.955281,0.937142,0.940148,0.957168,0.941484,0.949273,0.965629,0.915204,0.976074,0.915514,0.906073,0.918852,0.845459,0.924928,0.900628
2010,7,4,0.788344,0.7109,0.738051,0.697618,0.588586,0.438968,0.349658,0.350275,0.435383,0.435647,0.47722,0.347164,0.319556,0.375156,0.321762,0.350815,0.386842,0.411477,0.437471,0.473674,0.460749,0.439491,0.512171,0.620714
2010,7,5,0.571393,0.593552,0.67227,0.676982,0.463663,0.322482,0.301413,0.334149,0.288737,0.280137,0.115161,0.058043,0.066406,0.058097,0.014774,0,0.019669,0.014101,0.016209,0.017026,0.037195,0.043515,0.019507,0.058773
2010,7,6,0.08151,0.090534,0.106846,0.111789,0.108451,0.118207,0.171312,0.270852,0.334652,0.356632,0.376096,0.356614,0.418045,0.455636,0.47281,0.454304,0.398916,0.350104,0.312502,0.261664,0.230936,0.152307,0.037734,0.024763
2010,7,7,0.01187,0,0,0,0,0.039383,0.063363,0.070204,0.142009,0.156406,0.168649,0.207856,0.237843,0.28163,0.307153,0.339788,0.404934,0.277669,0.206064,0.13297,0.121892,0.087729,0.040864,0
2010,7,8,0,0,0.022566,0.034715,0.059014,0.110382,0.173645,0.227289,0.401025,0.678109,0.896066,0.866028,0.663854,0.372714,0.184173,0.104907,0.289826,0.488969,0.72724,0.772762,0.827049,0.588006,0.189896,0.096458
2010,7,9,0.203121,0.287157,0.486304,0.75188,0.81123,0.748778,0.673468,0.649638,0.616756,0.473152,0.413899,0.322882,0.267059,0.393407,0.423561,0.577632,0.708216,0.727666,0.689079,0.672909,0.686687,0.66032,0.669744,0.77315
2010,7,10,0.747284,0.746323,0.720359,0.714792,0.75282,0.699643,0.6365,0.785438,0.860726,0.86714,0.83676,0.750503,0.772081,0.793564,0.746466,0.664452,0.570376,0.56326,0.577832,0.568672,0.574351,0.698757,0.687432,0.771968
2010,7,11,0.820962,0.793056,0.653772,0.466388,0.618663,0.86515,0.889112,0.903925,0.953426,0.961452,0.957544,0.892484,0.900479,0.906907,0.924314,0.895984,0.833864,0.808818,0.764913,0.72659,0.706767,0.575408,0.485388,0.55455
2010,7,12,0.639837,0.596499,0.472742,0.369822,0.211197,0.17055,0.205133,0.31669,0.354583,0.338571,0.370423,0.444647,0.444374,0.472555,0.443896,0.448809,0.482113,0.422757,0.370058,0.358598,0.344155,0.345315,0.268075,0.205821
2010,7,13,0.161193,0.164187,0.164873,0.130156,0.113398,0.060829,0.063434,0.077147,0.108721,0.186202,0.240472,0.263138,0.309865,0.311528,0.306222,0.295155,0.292424,0.296167,0.261924,0.234548,0.20765,0.182847,0.099406,0.074097
2010,7,14,0.078266,0.064316,0.061732,0.059265,0.038356,0.019997,0.014025,0.034186,0.035995,0.031952,0.037856,0.034902,0.036399,0.040351,0.040236,0.035586,0.028659,0.025631,0.030602,0.030674,0.04405,0.036719,0.027343,0.014082
2010,7,15,0.017628,0.035524,0.03454,0.02623,0.022202,0.044741,0.072086,0.084482,0.061673,0.026737,0,0,0,0,0,0,0.007844,0.038451,0.034457,0.072075,0.180128,0.295457,0.455195,0.639417
