Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2010,7,1,0.893745,0.879245,0.893241,0.892356,0.935515,0.953356,0.947736,0.951957,0.960011,0.96634,0.962175,0.966947,0.909933,0.968348,0.968393,0.966801,0.967301,0.952584,0.952473,0.941472,0.944541,0.926392,0.931624,0.926927
2010,7,2,0.899214,0.938897,0.883401,0.850497,0.814465,0.791595,0.651113,0.701827,0.750039,0.748133,0.787286,0.693709,0.575004,0.787215,0.78784,0.739916,0.776395,0.746179,0.781623,0.789936,0.780367,0.777643,0.783226,0.924888
2010,7,3,0.92352,0.895856,0.90196,0.891214,0.875457,0.835043,0.694967,0.759202,0.748529,0.803722,0.797196,0.813057,0.782471,0.681242,0.624066,0.618204,0.493626,0.386056,0.31326,0.331074,0.262811,0.119157,0.075448,0.215444
2010,7,4,0.200063,0.152075,0.130782,0.123152,0.095851,0.077301,0.071562,0.063406,0.057992,0.047859,0.043757,0.049671,0.064424,0.054151,0.151601,0.176762,0.188572,0.182201,0.158841,0.148454,0.159575,0.169015,0.139641,0.104315
2010,7,5,0.093404,0.165902,0.174057,0.095277,0.133914,0.160855,0.195395,0.22051,0.229779,0.185619,0.116149,0.100654,0.116573,0.118399,0.129221,0.107533,0.113837,0.115768,0.089698,0.101323,0.108242,0.14423,0.102635,0.051816
2010,7,6,0.116074,0.091817,0.082051,0.071035,0.084722,0.089605,0.083655,0.09017,0.130528,0.170614,0.229956,0.256922,0.277476,0.306952,0.351797,0.399525,0.45711,0.502867,0.545007,0.577505,0.621812,0.610982,0.591593,0.520278
2010,7,7,0.353592,0.288875,0.281112,0.256252,0.215939,0.160772,0.1767,0.212515,0.253369,0.337571,0.415175,0.51252,0.555012,0.596184,0.598498,0.596538,0.591354,0.566051,0.544758,0.555529,0.562759,0.591319,0.564969,0.535836
2010,7,8,0.391559,0.419542,0.486483,0.509724,0.568881,0.541891,0.60281,0.782454,0.872125,0.587713,0.410224,0.341835,0.272868,0.194065,0.2476,0.177876,0.257756,0.361672,0.265351,0.360912,0.480769,0.601112,0.772984,0.807259
2010,7,9,0.8429,0.876031,0.904764,0.923936,0.942743,0.94955,0.958012,0.96194,0.961969,0.960338,0.960148,0.961632,0.963836,0.964509,0.965222,0.96459,0.965214,0.964094,0.964027,0.962573,0.96798,0.967676,0.967262,0.967424
2010,7,10,0.968571,0.967657,0.965095,0.954979,0.928371,0.801441,0.728224,0.744719,0.809371,0.806646,0.699236,0.792159,0.77291,0.824947,0.802803,0.675313,0.770573,0.798383,0.80712,0.822491,0.821398,0.813011,0.826047,0.858139
2010,7,11,0.905907,0.932672,0.932475,0.931252,0.922946,0.871204,0.789522,0.655955,0.498363,0.444626,0.488619,0.506971,0.511836,0.515958,0.424848,0.359209,0.300464,0.242612,0.208618,0.221845,0.195754,0.188577,0.186802,0.180501
2010,7,12,0.204895,0.270457,0.245416,0.163426,0.118417,0.147646,0.205684,0.230937,0.216835,0.229938,0.248913,0.273351,0.273569,0.30645,0.290585,0.275631,0.293437,0.246673,0.256561,0.279812,0.289789,0.290967,0.252663,0.210093
2010,7,13,0.152123,0.111204,0.077828,0.045983,0.036916,0.03522,0.033227,0.015217,0.010587,0.00941,0.020271,0.027375,0.016103,0.011734,0.011439,0.009459,0.012967,0.015978,0.038222,0.056345,0.071181,0.05367,0.056067,0.053101
2010,7,14,0.036125,0.042762,0.059225,0.081144,0.090898,0.100362,0.115018,0.111775,0.110575,0.077792,0.063774,0.044102,0.032587,0.041728,0.065056,0.088957,0.09371,0.085993,0.088039,0.067154,0.05948,0.060963,0.051934,0.031147
2010,7,15,0.029184,0.027606,0.032045,0.033914,0.037839,0.041281,0.04317,0.010572,0,0,0.030876,0.044763,0.052951,0.073472,0.078548,0.107336,0.138231,0.196747,0.4529,0.605038,0.697223,0.676866,0.234553,0.13477
2010,7,16,0.10929,0.086193,0.038321,0.033145,0.038743,0.04987,0.031185,0.026611,0.051975,0.0944,0.116973,0.113679,0.128204,0.137944,0.161555,0.214407,0.275674,0.338164,0.406852,0.513636,0.633811,0.682514,0.709345,0.748448
2010,7,17,0.79429,0.844504,0.81704,0.834898,0.826279,0.845582,0.844595,0.86706,0.830639,0.807514,0.808249,0.792139,0.770397,0.793573,0.768984,0.749302,0.735709,0.747897,0.709624,0.732236,0.720961,0.71558,0.6921,0.742253
2010,7,18,0.817036,0.870507,0.863139,0.81083,0.775935,0.712558,0.71899,0.804417,0.891622,0.908019,0.922776,0.934581,0.946134,0.947746,0.952979,0.955196,0.956683,0.961269,0.960772,0.962988,0.963411,0.962626,0.965454,0.964922
2010,7,19,0.960943,0.93129,0.633205,0.367824,0.288159,0.251044,0.227606,0.247327,0.304119,0.348296,0.314918,0.176841,0.149938,0.136567,0.181698,0.188592,0.224317,0.262494,0.295536,0.329788,0.396679,0.507669,0.578401,0.661486
2010,7,20,0.687796,0.661593,0.665073,0.754682,0.755586,0.70727,0.680557,0.671152,0.606781,0.744925,0.726797,0.756147,0.782412,0.778674,0.809018,0.799288,0.825209,0.793408,0.846852,0.749291,0.709119,0.674269,0.672756,0.669816
2010,7,21,0.859289,0.866746,0.813469,0.690038,0.413764,0.295192,0.416361,0.522629,0.67017,0.687218,0.811514,0.820437,0.793323,0.777586,0.736141,0.720025,0.760851,0.701893,0.660685,0.628264,0.564801,0.547793,0.423967,0.430209
2010,7,22,0.3591,0.226222,0.113836,0.06971,0.039042,0.016322,0.013486,0.008154,0.017848,0.031667,0.059346,0.082197,0.123855,0.156405,0.190873,0.220773,0.287844,0.330568,0.45792,0.601445,0.70041,0.763972,0.769258,0.772771
2010,7,23,0.813103,0.85372,0.887855,0.893125,0.90996,0.889595,0.820336,0.84846,0.770467,0.649844,0.595621,0.492132,0.423363,0.337181,0.255171,0.200083,0.170403,0.18029,0.198419,0.224489,0.234991,0.37064,0.431114,0.411857
2010,7,24,0.403174,0.412661,0.327669,0.346596,0.317417,0.301789,0.168737,0.173574,0.245135,0.26769,0.316106,0.228171,0.159903,0.133355,0.100366,0.093397,0.07156,0.056042,0.068472,0.081976,0.109708,0.141708,0.159041,0.165796
2010,7,25,0.168444,0.181834,0.248383,0.244356,0.314075,0.321118,0.39303,0.491284,0.625505,0.684044,0.527682,0.516929,0.560713,0.697451,0.7557,0.802775,0.847075,0.873862,0.880141,0.879979,0.821671,0.761307,0.629539,0.654769
2010,7,26,0.790959,0.729102,0.727894,0.782155,0.759556,0.737293,0.64857,0.596011,0.56814,0.455668,0.47466,0.404904,0.383868,0.493501,0.530936,0.472859,0.548202,0.532944,0.593966,0.643419,0.659594,0.661147,0.633142,0.647783
2010,7,27,0.637939,0.66556,0.614768,0.6501,0.548253,0.537254,0.526073,0.556574,0.604857,0.714852,0.717762,0.717734,0.604619,0.572289,0.539313,0.503584,0.487468,0.436691,0.381325,0.329974,0.306953,0.275117,0.241525,0.263897
2010,7,28,0.31139,0.35777,0.424486,0.44058,0.433624,0.373341,0.229448,0.226666,0.245892,0.249665,0.28066,0.320506,0.348727,0.385866,0.450977,0.491303,0.533564,0.575872,0.569318,0.604058,0.613181,0.638792,0.647854,0.776841
2010,7,29,0.827903,0.85587,0.75792,0.722831,0.682401,0.738099,0.740078,0.730936,0.707075,0.685226,0.481003,0.429244,0.351857,0.253665,0.313184,0.348004,0.336257,0.425132,0.512203,0.52916,0.491464,0.371926,0.368338,0.565204
2010,7,30,0.607897,0.711525,0.686425,0.688782,0.671928,0.63042,0.477844,0.465193,0.528056,0.588969,0.641634,0.684904,0.666397,0.582794,0.615021,0.625434,0.620006,0.674558,0.708311,0.737565,0.685187,0.672309,0.731899,0.762495
2010,7,31,0.889319,0.867568,0.731956,0.629349,0.594568,0.443441,0.367779,0.361525,0.374119,0.368349,0.377765,0.459671,0.529873,0.59565,0.656602,0.676244,0.741013,0.802308,0.804766,0.838307,0.836679,0.864891,0.912892,0.938498
2010,8,1,0.95288,0.954225,0.951041,0.940103,0.924185,0.942291,0.955532,0.956846,0.961622,0.965386,0.965765,0.963265,0.961673,0.96235,0.917467,0.955616,0.955886,0.964769,0.898495,0.763765,0.798477,0.52453,0.427335,0.374571
2010,8,2,0.246123,0.178399,0.218563,0.349341,0.462153,0.525387,0.51624,0.640327,0.724654,0.786105,0.811838,0.862806,0.843463,0.877235,0.887741,0.925231,0.812348,0.640686,0.588048,0.650775,0.673165,0.629346,0.488837,0.425698
2010,8,3,0.446778,0.552925,0.532607,0.482243,0.409397,0.302403,0.19543,0.127212,0.09142,0.116458,0.11104,0.13001,0.160189,0.148957,0.169322,0.197076,0.217966,0.269541,0.34235,0.404028,0.415734,0.461734,0.415136,0.445349
2010,8,4,0.60987,0.746684,0.804022,0.836317,0.813668,0.784718,0.776532,0.825092,0.849385,0.824707,0.806565,0.808387,0.762897,0.745909,0.728413,0.692883,0.708486,0.771925,0.818598,0.867959,0.893999,0.941878,0.953349,0.958859
2010,8,5,0.962096,0.965637,0.961141,0.962417,0.960929,0.959704,0.962531,0.967186,0.968716,0.967387,0.966651,0.943936,0.915103,0.924264,0.924068,0.927434,0.915265,0.952227,0.935171,0.933811,0.937907,0.962484,0.957384,0.955472
2010,8,6,0.956053,0.82856,0.676053,0.609563,0.418502,0.298818,0.194155,0.189371,0.200886,0.262234,0.363115,0.453335,0.503125,0.538858,0.544938,0.579359,0.571157,0.571522,0.585055,0.585844,0.593135,0.566076,0.502727,0.433913
2010,8,7,0.474355,0.545788,0.463617,0.389104,0.315223,0.231063,0.153978,0.10293,0.115467,0.166552,0.191852,0.24486,0.336789,0.391805,0.430129,0.473418,0.5122,0.513707,0.556262,0.583734,0.57022,0.517192,0.435265,0.297682
2010,8,8,0.210129,0.241806,0.247102,0.223158,0.263207,0.271663,0.363072,0.449592,0.455901,0.49662,0.492801,0.487359,0.542798,0.509807,0.45468,0.426902,0.448547,0.438655,0.417991,0.495136,0.561504,0.586867,0.612719,0.522475
2010,8,9,0.478218,0.456046,0.421393,0.338385,0.327708,0.327181,0.372381,0.448465,0.519526,0.512925,0.479245,0.405644,0.3791,0.373519,0.357462,0.337912,0.331614,0.293101,0.306272,0.261454,0.279403,0.251671,0.207795,0.155007
2010,8,10,0.11645,0.065903,0.035603,0.017362,0.017859,0.01554,0.038975,0.040072,0.021437,0.012893,0.017695,0.025958,0.021876,0.028255,0.040083,0.026545,0.034068,0.044601,0.033585,0.049114,0.064062,0.066506,0.028116,0.011762
