Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2010,7,1,1.999742,1.999658,1.999946,1.999818,1.999356,1.999332,1.998804,1.997584,1.985988,1.988434,1.99204,1.98051,1.991088,1.949826,1.914004,1.987362,1.943832,1.935026,1.98853,1.991178,1.972698,1.989884,1.994268,1.991212
2010,7,2,1.971192,1.980312,1.848636,1.696752,1.580052,1.531916,1.191978,0.75507,0.974662,1.102736,1.28031,1.347048,1.009722,0.800532,0.626356,0.536592,0.627618,0.609326,0.430218,0.386532,0.436058,0.41573,0.272616,0.30351
2010,7,3,0.229136,0.175742,0.187668,0.13589,0.138492,0.153296,0.095678,0.055982,0.059914,0.058192,0.060614,0.075914,0.084184,0.044826,0.056438,0.082688,0.090762,0.09683,0.073938,0.07342,0.089306,0.107526,0.135842,0.115926
2010,7,4,0.106322,0.085586,0.063338,0.055864,0.058788,0.075092,0.08613,0.120964,0.114912,0.081992,0.073214,0.076936,0.06774,0.046806,0.041444,0.057056,0.059016,0.091596,0.15105,0.225468,0.222328,0.231882,0.365242,0.767674
2010,7,5,0.73659,0.637368,0.526974,0.557446,0.594712,0.538424,0.381464,0.267792,0.166196,0.18629,0.21542,0.440448,0.83469,1.056878,1.221744,1.059608,1.065688,1.178524,1.157294,1.002304,1.425214,1.422238,1.13707,0.668742
2010,7,6,0.997866,0.651804,0.54786,0.45875,0.43141,0.394392,0.311892,0.356452,0.430666,0.616752,0.83681,0.667852,0.626566,0.60442,0.569114,0.403944,0.5184,0.496164,0.595112,0.593508,0.544328,0.445342,0.33397,0.219308
2010,7,7,0.243118,0.191058,0.161364,0.126844,0.103664,0.11728,0.16509,0.255608,0.250116,0.248284,0.235404,0.219308,0.566032,0.81709,0.973496,1.077274,1.286868,0.985202,1.030028,1.014482,1.023138,0.997572,1.142662,1.10212
2010,7,8,1.284996,1.080944,0.116336,0,1.682824,0.072574,0.077316,1.299652,0.74045,0.731308,0.913888,0.681744,1.71005,1.543052,1.997932,1.999502,1.99981,1.999976,1.99996,1.999986,1.999956,1.999976,1.999994,1.999948
2010,7,9,1.99984,1.999882,1.999932,1.999994,2,1.999998,1.999992,1.999994,1.999978,1.999896,1.999334,1.999858,1.99983,1.999834,1.999954,2,1.999996,1.999302,1.9999,1.99945,1.982654,1.905328,1.827924,1.974126
2010,7,10,1.995156,1.996812,1.993338,1.989846,1.974054,1.945208,1.944622,1.812938,1.949106,1.99604,1.99773,1.996788,1.99865,1.99829,1.996018,1.992238,1.989986,1.956668,1.97422,1.985382,1.988284,1.988834,1.992308,1.993878
2010,7,11,1.988966,1.98696,1.99389,1.99661,1.993492,1.97106,1.82614,1.164468,1.558578,1.721742,1.824482,1.855484,1.920024,1.967848,1.946648,1.971478,1.94622,1.990658,1.976208,1.990502,1.97548,1.976978,1.90179,1.798464
2010,7,12,1.969384,1.98123,1.992408,1.994944,1.95102,1.994868,1.99332,1.95058,1.737496,1.799858,1.979894,1.976468,1.976274,1.997136,1.997066,1.994316,1.993276,1.996092,1.995678,1.995678,1.999374,1.964612,1.998324,1.999602
2010,7,13,1.997452,1.999706,1.999624,1.997328,1.993448,1.98959,1.984834,1.991316,1.956238,1.775426,1.540078,1.599938,1.875898,1.54951,1.819,1.726086,1.684346,1.515386,1.439718,0.910798,0.913888,1.067514,0.773662,1.264674
2010,7,14,0.995504,1.115074,1.254028,1.139244,0.922348,0.714938,0.512054,0.389766,0.437566,0.576882,0.757528,0.777924,0.862268,0.781448,0.723678,0.839996,0.499922,0.30404,0.609942,0.454814,0.385594,0.339842,0.294112,0.138492
2010,7,15,0.238226,0.25073,0.258488,0.182534,0.119906,0.100542,0.11728,0.110748,0.05912,0.046396,0,0,0,0.068626,0.530042,1.000824,1.469478,1.999024,1.999862,1.998358,1.99816,1.980882,1.887458,1.97365
2010,7,16,1.944376,1.969606,1.974078,1.947262,1.92302,1.863192,1.711886,1.685212,1.892006,1.964356,1.983614,1.965058,1.958718,1.977784,1.960568,1.965714,1.980492,1.98877,1.969578,1.93918,1.91591,1.805056,1.861838,1.85119
2010,7,17,1.806112,1.938152,1.976618,1.979182,1.97758,1.963344,1.738068,1.350124,1.535188,1.87764,1.958458,1.915692,1.730576,1.394338,1.526984,1.458752,1.444132,1.38556,1.218608,1.193542,1.353812,1.347972,1.418662,1.840492
2010,7,18,1.955726,1.997492,1.998884,1.999198,1.999516,1.999228,1.995932,1.982478,1.994538,1.996928,1.998998,1.999726,1.999896,1.999888,1.999884,1.999792,1.999582,1.999338,1.999306,1.999282,1.999326,1.999206,1.998916,1.998218
2010,7,19,1.996338,1.997906,1.998114,1.99697,1.994638,1.992786,1.98493,1.990006,1.994892,1.998696,1.999866,1.999918,1.999822,1.999426,1.999952,1.996612,1.99998,1.998958,1.996036,1.972522,1.943232,1.985794,1.995598,1.999096
2010,7,20,1.999918,1.999984,1.99998,1.999976,1.999944,1.99978,1.999192,1.961376,1.979522,1.93982,1.51149,1.508978,1.495768,1.65966,1.753132,1.752768,1.66465,1.907172,1.899678,1.987068,1.99364,1.966602,1.98714,1.997154
2010,7,21,1.99724,1.999666,1.999834,1.999928,1.998576,1.984916,1.764042,1.663972,1.518712,1.244314,0.983148,1.040552,1.468034,1.536822,1.322026,0.947436,0.722256,0.543772,0.355214,0.241928,0.112672,0.05614,0.046922,0
2010,7,22,0,0,0,0,0,0,0,0.073472,0.06206,0,0,0.102146,0.255966,0.422988,0.565072,0.818916,1.083392,1.10921,1.428778,1.67977,1.76104,1.779624,1.8607,1.962576
2010,7,23,1.93644,1.973626,1.88793,1.459916,1.185718,0.974078,0.620702,0.417316,0.578644,0.787518,1.09351,1.426996,1.633766,1.570434,1.689092,1.780456,1.819,1.858172,1.944672,1.947262,1.958008,1.967232,1.942218,1.966752
2010,7,24,1.990502,1.993094,1.983434,1.982218,1.984736,1.966084,1.867402,1.609678,1.87825,1.855366,1.809698,1.863976,1.75076,1.371872,1.323886,1.587766,1.794864,1.923222,1.90179,0.460334,0.250994,0.349448,0.408876,0.396038
2010,7,25,1.743724,1.993302,1.943482,1.906214,1.910224,1.133654,1.205132,1.453506,1.649074,1.55672,1.020748,1.144528,0.379086,1.11662,0.912762,1.310232,1.288742,0.89739,1.103352,1.230522,1.51594,1.556454,1.164468,1.414778
2010,7,26,1.445894,1.504218,1.564922,1.41418,1.22049,0.745784,0.363468,0.539526,0.788278,0.856594,0.918394,0.74627,0.64725,0.579036,0.62846,0.750416,0.957234,1.066296,0.955212,1.063254,1.107666,0.935412,0.532216,0.508212
2010,7,27,0.838402,1.171648,1.330386,1.528632,1.5921,1.44824,0.812668,0.465276,0.477112,0.49142,0.593908,0.602182,0.38067,0.488058,0.471078,0.553858,0.584944,0.536592,0.581196,0.643798,0.632688,0.604012,0.284304,0.272424
2010,7,28,0.203732,0.312218,0.380802,0.435304,0.427402,0.457014,0.34884,0.227056,0.144002,0.165322,0.245086,0.32252,0.373332,0.338896,0.29237,0.272234,0.209606,0.18505,0.240238,0.412004,0.329572,0.256774,0.197536,0.246636
2010,7,29,0.4093,0.569306,0.487054,0.518932,0.77717,1.043566,0.731546,0.31905,0.420798,0.606664,0.515218,0.429476,0.416884,0.45796,0.695876,0.584548,0.408026,0.45733,0.49787,0.447498,0.352012,0.24811,0.205744,0.317716
2010,7,30,0.384924,0.33701,0.326028,0.404084,0.440144,0.447498,0.559916,0.316942,0.177228,0.120624,0.140454,0.13565,0.107224,0.10681,0.105614,0.08868,0.098512,0.089778,0.064214,0.063116,0.123848,0.111844,0.091404,0.059306
2010,7,31,0,0,0,0.050804,0.07061,0.065284,0,0,0,0.094508,0.148786,0.1408,0.216936,0.291858,0.370358,0.330264,0.440448,0.562202,0.733704,0.786504,1.529454,1.658748,1.514552,1.776438
2010,8,1,1.814688,1.916634,1.922752,1.892734,1.862178,1.854302,1.759972,0.919522,0.867694,1.083392,1.337802,1.280936,1.157294,0.938552,0.814748,0.521778,0.284602,0.157942,0.138932,0.144458,0.065054,0.069038,0.073704,0.061106
2010,8,2,0.114912,0.16914,0.253824,0.299402,0.438324,0.639292,0.61138,0.32694,0.219078,0.313858,0.43651,0.517338,0.886316,0.8888,0.931992,0.935696,0.896002,0.84106,0.78372,0.649632,0.588118,0.388146,0.281336,0.35807
2010,8,3,0.466078,0.419344,0.521422,0.293804,0.265646,0.20683,0.10265,0.09378,0.140502,0.115438,0.043704,0.076746,0.111452,0.187998,0.121306,0.088588,0.1295,0.108398,0.204592,0.269202,0.33996,0.497186,0.563348,0.263516
2010,8,4,0.742144,0.815008,1.235538,1.29342,1.302456,0.966508,0.424748,0.25516,0.292574,0.287302,0.517338,0.968834,1.421344,1.748184,1.957666,1.977416,1.994492,1.997246,1.998566,1.998446,1.998416,1.99844,1.998896,1.999472
2010,8,5,1.99984,1.999952,1.99996,1.999988,1.999992,1.999984,1.999884,1.985714,1.996188,1.99171,1.962676,1.958346,1.975924,1.989744,1.935482,1.978346,1.923554,1.901706,1.913408,1.646044,0.710718,0.2852,0.130186,0.46672
2010,8,6,1.009424,0.904916,0.556122,0.333156,0.189988,0.13296,0.128414,0.151104,0.141842,0.10681,0.095746,0.095342,0.098478,0.12873,0.190188,0.243034,0.231558,0.211156,0.168606,0.141594,0.127558,0.09578,0.11005,0.064168
2010,8,7,0.155356,0.125116,0.16509,0.21542,0.254268,0.289724,0.231314,0.108894,0.05563,0,0,0.080422,0.373852,0.505782,0.735868,1.065384,1.06356,0.707682,0.74166,0.952038,1.136448,1.016866,1.285308,1.189472
2010,8,8,1.302456,1.393432,1.532734,1.80821,1.55459,1.031828,0.98961,1.061128,0.923478,1.040854,1.889242,1.962542,1.98354,1.968226,1.908122,1.914004,1.832646,1.959416,1.735012,1.689306,1.398866,0.860374,1.165404,1.37766
2010,8,9,1.533008,1.109826,1.315512,1.567552,1.84113,1.923154,1.912736,1.739016,1.456132,1.35289,1.279686,1.34551,1.272496,1.284996,1.218296,1.128382,1.099966,1.10089,0.70118,0.36792,0.283014,0.250818,0.206684,0.271664
2010,8,10,0.485716,0.466078,0.434102,0.430516,0.385326,0.123848,0.130828,0.10651,0.112792,0.06494,0.102902,0.056418,0,0,0,0,0,0.041794,0.101216,0,0.053878,0.092764,0.075674,0
2010,8,11,0,0,0.046758,0.042432,0,0,0,0.097822,0.417462,0.41573,0.34079,0.204664,0.150786,0.177228,0.181448,0.181256,0.209458,0.41573,0.397,0.304998,0.216252,0.149046,0.089874,0.11451
2010,8,12,0.212046,0.442736,0.453404,0.307244,0.220696,0.276556,0.151956,0.117074,0.041706,0.15292,0.268732,0.215874,0.516806,0.79592,1.000232,1.161972,1.257788,1.273746,1.370956,1.405486,1.476676,1.229268,0.986964,1.482692
2010,8,13,1.45788,1.849614,1.672044,1.957324,1.98735,1.993258,1.99354,1.897786,1.928516,1.979596,1.989454,1.99301,1.997156,1.996922,1.998656,1.999258,1.999324,1.999426,1.999608,1.999714,1.999798,1.999954,1.99999,1.999982
2010,8,14,1.999994,1.99998,1.999984,1.999974,1.999982,1.999998,1.999958,1.999954,1.999962,1.999872,1.9999,1.999994,1.999994,1.999976,1.999988,1.999376,1.999088,1.992664,1.858056,1.875794,1.896126,1.927888,1.999202,1.99956
2010,8,15,1.999746,1.999984,1.999988,1.999998,1.999998,1.999998,1.99998,1.999946,1.999768,1.999554,1.975188,1.968168,1.922012,1.8977,1.81206,1.534644,1.21516,0.941126,0.778428,0.808522,1.021942,0.844792,1.063254,1.71493
2010,8,16,1.824066,1.6027,1.421046,1.23209,0.606256,0.27233,0.25543,0.107072,0.077044,0.141344,0.196086,0.1235,0.106922,0.137088,0.102432,0.103446,0.22642,0.417896,0.674544,0.76024,0.775666,0.85041,0.597528,1.401576
2010,8,17,1.754042,1.95128,1.985096,1.989208,1.985448,1.981656,1.957286,1.906694,1.977764,1.992772,1.995318,1.99616,1.998388,1.9993,1.999212,1.998822,1.998692,1.997022,1.992444,1.97422,1.968796,1.971942,1.987056,1.99595
2010,8,18,1.996982,1.998146,1.999002,1.99184,1.953824,1.75621,0.834162,0.185962,0.481894,1.023736,0.739724,1.008236,1.264362,1.31427,0.987258,0.908274,0.74944,0.383856,0.358568,0.255788,0.188196,0.094012,0.123326,0.136176
2010,8,19,0.136848,0.148056,0.204664,0.479086,1.256534,1.521202,0.828618,0.219616,0.077806,0.100648,0.33467,1.239926,1.99738,1.996796,1.991586,1.983928,1.959888,1.86127,1.712496,1.619032,1.544402,1.332552,1.981074,1.998236
