Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2010,7,1,0.738463,0.759246,0.774605,0.782975,0.748619,0.6969,0.612669,0.766189,0.903713,0.949129,0.948605,0.841621,0.879963,0.891961,0.904565,0.923323,0.977116,0.976199,0.967951,0.972093,0.966507,0.996575,0.985144,0.991636
2010,7,2,0.987229,0.976208,0.964506,0.952469,0.95094,0.95014,0.962098,0.922901,0.954494,0.967222,0.958078,0.943409,0.923307,0.886365,0.830181,0.818791,0.831814,0.814394,0.828201,0.822265,0.805819,0.76582,0.711696,0.613782
2010,7,3,0.663647,0.697743,0.704851,0.714424,0.684678,0.621899,0.627135,0.866078,0.943741,0.948402,0.944265,0.945289,0.954634,0.94977,0.947793,0.940108,0.941295,0.943397,0.941955,0.915471,0.867064,0.761471,0.646677,0.507494
2010,7,4,0.444586,0.305168,0.203254,0.147935,0.107833,0.097938,0.136774,0.173429,0.162309,0.228163,0.235395,0.254152,0.203489,0.175471,0.06708,0.052179,0.033632,0.027547,0.035961,0.050874,0.051126,0.041487,0.051268,0.067446
2010,7,5,0.089516,0.08213,0.081285,0.084848,0.069016,0.060398,0.052463,0.046788,0.051905,0.077042,0.073502,0.080633,0.121916,0.181668,0.257042,0.313767,0.337897,0.328068,0.344032,0.344832,0.33405,0.272979,0.305606,0.346056
2010,7,6,0.356625,0.378643,0.373152,0.363472,0.370932,0.376232,0.450807,0.517292,0.558673,0.637636,0.690851,0.65558,0.561185,0.502468,0.487379,0.45383,0.410869,0.420631,0.418366,0.388974,0.369661,0.444033,0.467789,0.535556
2010,7,7,0.531518,0.510083,0.432098,0.406688,0.440561,0.370616,0.350526,0.460335,0.514603,0.48258,0.521647,0.470318,0.370214,0.306655,0.290273,0.272651,0.263257,0.292538,0.291029,0.266685,0.285422,0.239313,0.213218,0.257051
2010,7,8,0.22985,0.243811,0.224524,0.232233,0.228916,0.190331,0.174312,0.249372,0.25036,0.289209,0.359814,0.431582,0.454538,0.503193,0.543556,0.575862,0.765305,0.791253,0.834821,0.849597,0.742923,0.57242,0.685832,0.741227
2010,7,9,0.838594,0.863363,0.797976,0.704159,0.642192,0.588307,0.574772,0.711057,0.67022,0.661569,0.683955,0.680521,0.697933,0.596163,0.383847,0.32634,0.311354,0.378677,0.367502,0.414493,0.444242,0.355338,0.25782,0.18644
2010,7,10,0.147659,0.131333,0.127563,0.109572,0.10038,0.074871,0.10876,0.127149,0.144563,0.143335,0.190031,0.229447,0.289143,0.456609,0.485139,0.464942,0.407966,0.448863,0.487394,0.549079,0.639579,0.603475,0.629848,0.643024
2010,7,11,0.655579,0.647741,0.650188,0.70707,0.713657,0.671775,0.596688,0.657105,0.702334,0.702849,0.723236,0.74668,0.754075,0.784364,0.750419,0.681663,0.619048,0.560753,0.541444,0.577137,0.577535,0.586772,0.585977,0.593777
2010,7,12,0.670603,0.743079,0.703905,0.68286,0.603443,0.449633,0.34626,0.442174,0.495387,0.543756,0.589619,0.636426,0.698298,0.746497,0.767754,0.734475,0.730905,0.744414,0.771458,0.728318,0.664138,0.587358,0.58184,0.628639
2010,7,13,0.697861,0.69499,0.698448,0.667797,0.567832,0.410478,0.402158,0.43676,0.486334,0.459869,0.465363,0.422359,0.409655,0.398045,0.45282,0.480655,0.464685,0.435871,0.403905,0.394377,0.380666,0.255696,0.19616,0.14203
2010,7,14,0.105422,0.090905,0.081221,0.07117,0.046865,0.043788,0.057762,0.081978,0.070977,0.059933,0.073945,0.104913,0.139043,0.161231,0.139999,0.149388,0.10853,0.104795,0.119657,0.148645,0.188356,0.162319,0.19576,0.233208
2010,7,15,0.187668,0.167825,0.174703,0.265018,0.310964,0.349,0.418808,0.428908,0.457813,0.48183,0.442597,0.461861,0.510609,0.542092,0.513202,0.460141,0.477212,0.49824,0.512063,0.542685,0.444764,0.322539,0.573441,0.641094
2010,7,16,0.508579,0.671997,0.467895,0.204692,0.309435,0.233136,0.36998,0.207229,0.288814,0.261994,0.165285,0.405667,0.259541,0.322731,0.240787,0.199799,0.186606,0.180636,0.170082,0.102994,0.103421,0.09552,0.031251,0.05246
2010,7,17,0.088988,0.224745,0.261814,0.273337,0.296647,0.262102,0.206645,0.287305,0.340907,0.398406,0.458945,0.52539,0.501293,0.479851,0.404132,0.406861,0.478224,0.498465,0.508139,0.524062,0.532741,0.540471,0.523423,0.506584
2010,7,18,0.465292,0.465227,0.438664,0.431206,0.42648,0.397496,0.390075,0.479453,0.462398,0.446234,0.480265,0.514552,0.523248,0.479412,0.474079,0.459023,0.432943,0.450617,0.431574,0.432183,0.47299,0.480891,0.46676,0.47107
2010,7,19,0.458295,0.474882,0.49753,0.546924,0.573226,0.531977,0.545459,0.647007,0.693572,0.73428,0.766862,0.778246,0.793098,0.781468,0.811306,0.814249,0.8129,0.843401,0.871498,0.873564,0.876821,0.868293,0.874532,0.859772
2010,7,20,0.821608,0.82475,0.854765,0.873421,0.852795,0.819585,0.74612,0.769714,0.780817,0.77281,0.776432,0.797421,0.819234,0.897924,0.957723,0.98451,0.9753,0.990805,0.987491,0.98939,0.987656,0.985565,0.988768,0.993476
2010,7,21,0.995069,0.994065,0.992152,0.983286,0.978228,0.953643,0.942956,0.935649,0.905122,0.877013,0.887851,0.92059,0.940307,0.964074,0.923972,0.864469,0.739298,0.701717,0.631217,0.594602,0.564003,0.54671,0.531953,0.544683
2010,7,22,0.637379,0.68869,0.68404,0.638372,0.579152,0.443273,0.337493,0.3805,0.531796,0.557814,0.50539,0.465351,0.373653,0.348796,0.32278,0.341569,0.403429,0.406347,0.343307,0.274943,0.25301,0.21089,0.109367,0.086392
2010,7,23,0.062076,0.064165,0.067258,0.065581,0.052623,0.048261,0.032503,0.038284,0.045882,0.051334,0.044874,0.043864,0.06087,0.137804,0.184414,0.210975,0.237897,0.309672,0.362058,0.423343,0.492008,0.534674,0.632267,0.695925
2010,7,24,0.757668,0.707243,0.596415,0.545477,0.765883,0.813608,0.756253,0.774937,0.783143,0.720137,0.7255,0.653865,0.573451,0.518397,0.617991,0.680592,0.682404,0.676095,0.619315,0.55983,0.557196,0.551591,0.538578,0.492019
2010,7,25,0.390562,0.369606,0.369878,0.335085,0.311022,0.303344,0.306727,0.380973,0.429597,0.543728,0.547485,0.528393,0.514061,0.529478,0.549963,0.531316,0.517576,0.53885,0.497962,0.492139,0.470025,0.335739,0.282258,0.291788
2010,7,26,0.330579,0.372429,0.425892,0.436069,0.41607,0.395833,0.366181,0.500574,0.61672,0.655111,0.688091,0.644669,0.600976,0.572339,0.546129,0.538947,0.520105,0.493368,0.497992,0.509125,0.509786,0.374522,0.379387,0.29929
2010,7,27,0.303511,0.299355,0.26652,0.198852,0.135302,0.084006,0.085469,0.159795,0.210172,0.268174,0.335897,0.387317,0.382302,0.388034,0.418109,0.42943,0.453952,0.472845,0.461014,0.434961,0.41667,0.312794,0.248123,0.097035
2010,7,28,0.062208,0.046251,0.037011,0.034267,0.048035,0.053505,0.063775,0.150063,0.155252,0.152949,0.123193,0.114723,0.112774,0.143924,0.114144,0.108628,0.116855,0.138988,0.073519,0.074341,0.112831,0.100775,0.104867,0.101974
2010,7,29,0.10271,0.132863,0.191418,0.218194,0.222421,0.227184,0.26093,0.376947,0.416539,0.473463,0.498649,0.507378,0.513126,0.545888,0.56313,0.582875,0.610949,0.636867,0.65594,0.673425,0.652034,0.627643,0.545414,0.526188
2010,7,30,0.496705,0.50948,0.45295,0.504096,0.532458,0.482502,0.416084,0.481615,0.573208,0.650591,0.647279,0.637941,0.600603,0.607785,0.574004,0.496263,0.453689,0.439958,0.428887,0.443324,0.375296,0.267513,0.24452,0.16533
2010,7,31,0.18033,0.210263,0.23341,0.272194,0.30195,0.333557,0.31554,0.374396,0.407803,0.467576,0.495618,0.476547,0.395241,0.328008,0.239588,0.257513,0.223231,0.1805,0.142838,0.15223,0.096667,0.042791,0.019185,0.022209
2010,8,1,0.020632,0.054496,0.084576,0.109806,0.123086,0.142384,0.140695,0.234349,0.282514,0.332981,0.355224,0.394972,0.439245,0.478859,0.536176,0.631828,0.645815,0.703838,0.768698,0.833086,0.841978,0.797801,0.720427,0.683171
2010,8,2,0.66356,0.657917,0.80062,0.798303,0.729437,0.58141,0.40897,0.416916,0.349733,0.254265,0.206863,0.228775,0.134909,0.120652,0.052822,0.035914,0.045434,0.083946,0.129663,0.180306,0.228222,0.284153,0.246892,0.227096
2010,8,3,0.226788,0.306606,0.342561,0.353689,0.276105,0.214378,0.148694,0.159216,0.122596,0.134101,0.146822,0.200615,0.226283,0.226464,0.229652,0.227959,0.215423,0.225993,0.206647,0.190259,0.147344,0.0782,0.055954,0.035717
2010,8,4,0.023525,0.032676,0.035855,0.03006,0.027279,0.027845,0.018786,0.019231,0.020625,0.05715,0.056038,0.067417,0.069378,0.089986,0.05698,0.069168,0.082017,0.07507,0.080297,0.127471,0.138401,0.113093,0.049721,0.069203
2010,8,5,0.066733,0.081481,0.083638,0.073527,0.06639,0.067302,0.063558,0.091187,0.13886,0.195351,0.251416,0.297112,0.336502,0.360752,0.412897,0.434928,0.503869,0.542405,0.574164,0.613128,0.697232,0.698269,0.727087,0.712656
2010,8,6,0.76943,0.757092,0.809119,0.816414,0.771382,0.664204,0.514559,0.33522,0.598491,0.778337,0.811776,0.783223,0.764526,0.744552,0.644801,0.575549,0.522037,0.537119,0.569514,0.661331,0.705195,0.733939,0.750408,0.69563
2010,8,7,0.564826,0.490998,0.392633,0.301397,0.431036,0.476282,0.301939,0.215374,0.262886,0.24312,0.160835,0.137392,0.109586,0.122728,0.130008,0.106098,0.092541,0.119729,0.119116,0.118439,0.111993,0.08254,0.050169,0.020642
2010,8,8,0.024952,0.024241,0.036515,0.040853,0.047764,0.05201,0.065652,0.091865,0.111588,0.149295,0.159561,0.176226,0.199886,0.209368,0.219963,0.228193,0.24272,0.283415,0.305604,0.306354,0.339056,0.325159,0.287939,0.226361
2010,8,9,0.195647,0.143402,0.137348,0.136616,0.10586,0.08656,0.115685,0.159533,0.214103,0.279872,0.324012,0.380376,0.374634,0.346467,0.380422,0.367247,0.348876,0.469455,0.412259,0.353288,0.399395,0.486255,0.513826,0.564912
2010,8,10,0.668697,0.756384,0.783838,0.690848,0.65137,0.61931,0.565461,0.489496,0.425398,0.353503,0.294608,0.309529,0.341506,0.369091,0.374624,0.342139,0.326397,0.331649,0.367919,0.389269,0.354267,0.348924,0.328794,0.335777
2010,8,11,0.509368,0.550931,0.613242,0.637781,0.597831,0.538945,0.411116,0.439918,0.428218,0.402617,0.385908,0.408533,0.416489,0.403862,0.400295,0.382628,0.327964,0.305258,0.31583,0.362509,0.405855,0.299306,0.333777,0.339383
