Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2013,7,1,4713.8629,4437.2259,4267.2355,4189.4675,4299.1463,4706.6181,5429.93,6091.9007,6267.395618,6093.218844,5804.298084,5585.278603,5447.921171,5397.858794,5395.830308,5414.991508,5704.695035,6255.373717,6541.547807,6534.4055,6387.8421,6024.5094,5580.7388,5240.1752
2013,7,2,4919.8829,4600.8059,4395.9955,4345.1575,4418.7663,4824.8381,5596.67,6216.5307,6368.655618,6156.591744,5920.114384,5722.932603,5626.431871,5563.442094,5566.508808,5648.432408,5980.347035,6535.593217,6851.354507,6787.6734,6701.1062,6260.2328,5732.8713,5322.1922
2013,7,3,4783.3929,4435.3959,4222.0255,4165.4975,4270.2963,4657.3281,5379.69,6056.3507,6140.535618,5913.211744,5650.844384,5478.192603,5405.821871,5365.992094,5374.978808,5425.102408,5597.997035,6032.133217,6223.394507,6082.9834,5953.1762,5629.0128,5284.7013,5027.3422
2013,7,4,4667.7529,4368.9359,4157.2955,4092.1475,4145.5963,4527.7181,5158.24,5724.8507,5843.935618,5695.388844,5528.938084,5365.598603,5302.581171,5285.318794,5399.160308,5507.211508,5600.335035,6038.413717,6300.287807,6328.8255,6250.1421,5861.0994,5527.1488,5190.2052
2013,7,5,4781.1629,4478.8559,4290.1355,4201.9975,4290.7463,4706.9581,5398.49,6042.3007,6186.715618,5991.188844,5758.028084,5528.058603,5403.481171,5352.788794,5325.550308,5345.851508,5581.475035,6021.183717,6280.677807,6251.0155,6209.0221,5894.2894,5578.3988,5307.5052
2013,7,6,4892.4129,4522.6259,4298.7255,4207.6775,4233.7863,4407.7881,4733.74,5300.8107,5654.595618,5620.748844,5389.898084,5077.888603,4844.251171,4721.498794,4686.190308,4809.661508,5160.735035,5855.313717,6174.987807,6151.2655,6075.6021,5787.2094,5495.1488,5254.4552
2013,7,7,4925.9929,4574.1959,4358.4255,4245.3375,4265.6063,4371.1881,4603.92,5064.9407,5446.505618,5436.328844,5258.378084,5051.448603,4880.211171,4772.228794,4759.190308,4875.221508,5293.355035,6101.193717,6431.697807,6391.5955,6319.8621,5981.8894,5530.7288,5206.5352
2013,7,8,4894.7829,4621.3059,4408.4455,4329.6175,4398.3863,4816.0681,5653.49,6399.7007,6566.275618,6263.748844,5950.188084,5676.478603,5517.751171,5414.788794,5378.780308,5459.861508,5792.205035,6431.333717,6690.677807,6627.8455,6497.3121,6084.6994,5607.8988,5228.4352
2013,7,9,4907.4429,4572.9159,4343.0855,4245.8475,4314.3163,4750.9681,5441.69,6133.6207,6362.145618,6218.611744,6035.244384,5924.372603,5774.881871,5724.592094,5774.778808,5851.082408,6151.697035,6682.933217,6952.474507,6790.0734,6672.1362,6225.2828,5780.7313,5345.6022
2013,7,10,4911.9529,4573.2459,4352.0855,4270.7275,4317.6063,4746.5981,5484.64,6139.6907,6288.695618,6088.011744,5849.184384,5620.402603,5464.961871,5432.112094,5398.518808,5451.932408,5781.547035,6402.273217,6701.734507,6578.1734,6497.6162,6076.0828,5675.0313,5292.6822
2013,7,11,4915.3929,4563.3559,4340.8255,4278.3875,4348.1863,4738.4581,5462.01,6159.9207,6299.145618,6069.268844,5796.198084,5599.638603,5478.481171,5407.428794,5377.690308,5375.051508,5622.555035,6235.003717,6656.197807,6650.0355,6564.7721,6156.2994,5737.6888,5357.4752
2013,7,12,4959.0029,4624.6159,4361.2155,4282.7275,4368.2163,4764.1581,5440.81,6080.2707,6233.415618,6005.608844,5777.798084,5571.698603,5312.291171,5246.528794,5209.260308,5259.651508,5557.755035,6041.463717,6340.847807,6327.5455,6276.3021,5986.7194,5668.2188,5346.3052
2013,7,13,4873.3129,4499.8959,4265.9255,4213.8775,4222.8563,4373.1081,4701.04,5188.8907,5526.005618,5497.788844,5282.398084,5036.808603,4818.261171,4692.758794,4683.090308,4801.551508,5131.245035,5675.283717,5925.317807,5928.9555,5847.1721,5582.4794,5305.6788,5144.7752
2013,7,14,4816.7229,4480.1359,4278.6555,4141.3475,4166.7863,4266.6681,4488.45,4907.7407,5247.285618,5204.538844,5069.408084,4865.798603,4705.571171,4608.478794,4581.450308,4689.151508,5015.925035,5670.723717,6132.157807,6110.5355,6066.8821,5728.3194,5349.3688,5022.3852
2013,7,15,4723.0029,4481.2859,4312.0855,4225.7375,4282.0763,4728.9181,5521.19,6228.8207,6300.695618,6037.878844,5822.038084,5617.028603,5489.391171,5445.718794,5426.160308,5496.351508,5666.525035,6117.863717,6384.477807,6260.7955,6156.9921,5791.4394,5420.1588,5128.4452
2013,7,16,4793.6829,4488.4859,4255.9755,4225.7275,4279.2463,4696.3081,5501.66,6316.8207,6265.165618,5967.351744,5779.134384,5656.962603,5563.971871,5487.122094,5420.848808,5436.372408,5678.627035,6283.193217,6688.134507,6634.4834,6550.6462,6127.5928,5677.4113,5282.1322
2013,7,17,4900.2629,4607.1159,4364.4255,4338.2975,4434.2963,4853.2581,5764.21,6577.8407,6316.835618,6076.701744,5755.144384,5500.502603,5364.391871,5314.062094,5345.478808,5386.262408,5676.597035,6353.213217,6835.484507,6816.5634,6703.7262,6345.6428,5869.3613,5417.0522
2013,7,18,4996.2229,4628.4459,4403.5755,4329.4975,4386.4163,4814.5181,5694.22,6503.1807,6400.705618,6017.838844,5751.738084,5555.768603,5434.551171,5364.568794,5353.470308,5421.601508,5768.705035,6515.453717,7129.867807,7185.1555,7078.2321,6589.0594,6021.9688,5549.3852
2013,7,19,5111.9229,4786.7459,4555.2555,4454.9375,4519.4163,5001.1681,5953.04,6814.1307,6745.265618,6297.688844,5947.528084,5712.148603,5478.641171,5331.818794,5292.140308,5330.941508,5603.955035,6215.203717,6692.057807,6751.6355,6712.0521,6344.8694,5931.1988,5606.5752
2013,7,20,5124.9729,4772.5259,4513.2055,4385.1775,4392.0563,4568.2081,4949.87,5570.5707,5928.835618,5805.148844,5467.028084,5129.588603,4903.101171,4772.878794,4739.650308,4833.651508,5155.285035,5803.023717,6194.997807,6221.0355,6164.5521,5889.9694,5605.0788,5348.5652
2013,7,21,4997.4329,4678.1959,4386.9855,4283.0375,4262.5963,4340.0481,4584.88,5073.2607,5388.415618,5335.628844,5165.418084,4974.648603,4804.841171,4698.778794,4663.530308,4718.191508,5029.175035,5719.863717,6207.407807,6203.1955,6120.2221,5793.3794,5448.2288,5152.5252
2013,7,22,4816.4329,4526.0459,4337.2155,4246.0775,4320.0763,4757.1181,5690.69,6605.6207,6524.265618,6129.808844,5848.388084,5655.198603,5518.331171,5464.628794,5441.170308,5506.381508,5663.345035,6202.653717,6549.957807,6477.1855,6388.1021,6026.7894,5594.1488,5244.9752
2013,7,23,4888.2629,4581.8459,4385.0055,4294.3875,4413.3763,4851.5481,5752.79,6590.0507,6458.775618,6066.981744,5766.504384,5559.832603,5470.611871,5450.652094,5441.968808,5515.082408,5726.387035,6197.463217,6522.814507,6442.7134,6369.2562,5936.8928,5553.5013,5248.1222
2013,7,24,4897.1529,4541.1259,4315.1255,4269.8375,4341.6763,4750.9381,5537.72,6271.6707,6164.095618,5888.481744,5630.264384,5467.412603,5413.291871,5390.322094,5407.268808,5473.592408,5717.727035,6140.053217,6434.114507,6337.0334,6226.6262,5872.0128,5506.5613,5229.2722
2013,7,25,4864.9629,4494.0159,4322.5355,4256.9075,4343.8963,4721.0381,5533.43,6197.1907,6136.565618,5856.808844,5708.058084,5576.758603,5504.691171,5475.958794,5471.240308,5512.321508,5683.345035,6041.493717,6348.327807,6284.3155,6213.0221,5839.8294,5485.9588,5204.1252
2013,7,26,4856.1629,4571.3059,4354.7055,4315.6975,4427.3263,4814.2281,5627.29,6400.0107,6341.805618,6006.618844,5786.548084,5624.038603,5482.681171,5422.168794,5374.020308,5393.301508,5619.685035,6044.003717,6405.737807,6347.8555,6283.8221,6027.0394,5659.3588,5339.5752
2013,7,27,4941.0729,4603.6959,4357.0955,4246.4375,4294.3063,4472.5081,4723.37,5282.3907,5633.555618,5600.008844,5352.848084,5072.768603,4863.561171,4750.928794,4722.390308,4784.301508,5066.715035,5656.923717,5977.797807,5932.5355,5871.4621,5578.3194,5342.2488,5130.3152
2013,7,28,4791.9929,4470.7759,4251.0755,4143.5175,4143.6263,4248.6281,4451.35,4859.4407,5200.465618,5203.418844,5071.258084,4881.278603,4738.541171,4662.318794,4610.010308,4748.281508,5051.155035,5694.953717,6049.117807,5968.5655,5869.6521,5515.2694,5165.2788,4943.7352
2013,7,29,4671.0129,4391.6259,4227.6655,4137.7975,4177.3163,4602.8781,5422.75,6168.5107,6170.365618,5907.248844,5720.468084,5520.728603,5433.351171,5343.288794,5374.080308,5413.951508,5619.795035,6050.743717,6410.097807,6315.8855,6243.7121,5877.7694,5504.9988,5189.5652
2013,7,30,4806.0229,4501.9559,4285.0655,4247.4575,4338.6663,4784.1781,5684.36,6455.0107,6285.615618,5917.641744,5676.694384,5487.692603,5368.191871,5342.862094,5346.718808,5401.612408,5620.647035,6103.993217,6482.234507,6482.0634,6376.9062,6032.0928,5672.8013,5315.0222
2013,7,31,4933.6929,4598.7559,4365.3455,4311.3975,4407.6963,4813.9181,5720,6471.7707,6308.875618,5961.851744,5667.484384,5509.032603,5340.861871,5312.172094,5290.648808,5334.652408,5562.577035,6058.153217,6520.024507,6525.8634,6428.4462,6067.7628,5644.9513,5314.3322
2013,8,1,4946.3529,4601.1659,4397.7155,4346.2175,4424.0863,4846.1181,5754.12,6544.5107,6333.201637,5941.35983,5648.440255,5420.426854,5297.725765,5177.637488,5188.210404,5212.104007,5457.683474,5963.674316,6506.698302,6607.156333,6540.1721,6116.4394,5689.3888,5341.2552
2013,8,2,4978.9229,4624.0759,4363.3355,4329.5775,4456.0863,4889.6881,5769.66,6646.2807,6474.521637,6057.04983,5754.800255,5523.796854,5377.825765,5261.987488,5233.250404,5273.004007,5509.883474,5921.904316,6327.838302,6346.546333,6272.4121,6011.5494,5724.7088,5427.0952
2013,8,3,4944.3129,4596.7259,4350.7355,4266.1975,4302.7963,4492.3881,4880.56,5485.1207,5758.231637,5597.12983,5290.370255,5009.906854,4830.965765,4708.717488,4656.940404,4726.214007,4999.363474,5514.744316,5889.248302,5933.446333,5880.5321,5654.6294,5384.1588,5187.7652
2013,8,4,4846.5529,4519.1559,4260.2355,4176.3475,4144.6163,4258.7881,4536,4983.5607,5269.891637,5239.16983,5074.450255,4825.056854,4667.835765,4555.307488,4322.400404,4601.724007,4948.203474,5551.654316,5981.168302,5998.326333,5926.0421,5633.0894,5249.5488,5011.7152
2013,8,5,4752.8629,4460.3159,4251.9255,4174.0575,4279.9663,4735.0281,5658.85,6431.8707,6299.151637,5955.02983,5714.370255,5496.306854,5379.415765,5346.217488,5337.530404,5388.714007,5599.463474,6054.824316,6426.438302,6339.036333,6248.1421,5918.7994,5555.3688,5250.6752
2013,8,6,4907.7829,4565.9359,4333.5255,4270.6975,4375.0363,4813.9081,5719.61,6461.9007,6252.121637,5954.79273,5686.106555,5519.640854,5452.456465,5432.890788,5458.068904,5486.324907,5615.415474,5993.233816,6326.385002,6328.714233,6275.8862,5951.2028,5543.0213,5198.6222
2013,8,7,4808.1229,4489.3959,4336.1255,4260.4575,4369.3463,4822.7481,5655.38,6274.2507,6130.311637,5768.92273,5508.186555,5321.290854,5243.706465,5239.860788,5213.128904,5272.284907,5471.465474,5868.193816,6211.215002,6253.054233,6193.0162,5847.2828,5480.7613,5182.3822
2013,8,8,4855.5629,4483.6159,4271.3555,4220.3175,4331.5063,4759.8481,5634.23,6305.1507,6114.011637,5801.70983,5577.180255,5466.016854,5344.135765,5341.217488,5328.540404,5344.304007,5541.633474,5896.874316,6322.598302,6319.126333,6226.6321,5853.9794,5473.3888,5168.4852
2013,8,9,4839.0929,4525.4859,4292.3155,4253.6475,4335.4563,4746.4981,5610.78,6295.5807,6145.861637,5805.22983,5568.760255,5389.876854,5293.185765,5253.617488,5261.270404,5264.304007,5472.633474,5736.744316,6000.548302,6001.966333,5914.6021,5669.4094,5445.0988,5200.3552
2013,8,10,4812.3629,4466.1459,4241.3655,4163.6975,4156.8963,4357.4181,4645.47,5181.9407,5434.911637,5387.76983,5154.170255,4941.616854,4768.115765,4670.827488,4644.070404,4676.574007,4863.573474,5398.954316,5768.478302,5766.766333,5685.6521,5484.1894,5263.0788,5078.8252
2013,8,11,4764.9329,4516.7059,4287.1255,4187.2475,4198.4763,4276.8281,4524.21,4984.7307,5252.371637,5175.50983,5003.880255,4819.726854,4692.405765,4575.947488,4562.120404,4634.134007,4855.793474,5382.014316,5935.708302,6047.346333,5972.8221,5691.8494,5337.4788,5081.3552
2013,8,12,4773.4629,4449.4459,4237.9355,4160.5575,4246.8363,4680.2281,5467.49,6199.2607,6109.541637,5824.44983,5570.880255,5408.976854,5320.185765,5268.227488,5269.030404,5297.574007,5482.583474,5860.804316,6231.098302,6180.826333,6130.6121,5812.6994,5457.5488,5166.5652
2013,8,13,4834.1829,4508.0659,4295.9955,4220.2275,4285.6263,4736.0781,5592.41,6298.9707,6150.511637,5847.11273,5616.606555,5486.700854,5410.136465,5376.750788,5377.938904,5401.174907,5564.705474,5893.483816,6248.925002,6214.854233,6122.8662,5815.6828,5469.8413,5192.3822
2013,8,14,4778.3529,4421.0459,4221.4255,4132.9875,4170.5463,4504.6981,5047.99,5638.5307,5747.681637,5597.37273,5392.446555,5282.380854,5196.586465,5133.340788,5139.698904,5215.814907,5389.215474,5689.313816,6019.105002,5965.444233,5821.0662,5556.5028,5258.7313,5027.8722
