Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2013,7,1,1109.39554,1081.60954,1082.35568,1063.57602,1062.95284,1119.58538,1307.28568,1594.40882,1650.0985,1611.328613,1549.745687,1495.731591,1441.462966,1400.309135,1424.950038,1409.343166,1493.524891,1603.250827,1608.847579,1571.09804,1515.44138,1425.87356,1280.39704,1103.95484
2013,7,2,1039.47846,1012.80348,997.9518,996.12164,991.43074,1016.76872,1183.80578,1474.34456,1542.0448,1537.336533,1421.534387,1371.680211,1305.503886,1245.216395,1230.824118,1257.545686,1379.945671,1521.716807,1530.314939,1497.97232,1452.0444,1341.1329,1182.1537,1063.1346
2013,7,3,965.63954,945.2376,942.84702,958.16102,982.53358,1004.0572,1119.37302,1227.65098,1414.56676,1468.761473,1401.096847,1318.905471,1301.518286,1258.048975,1335.595178,1362.601186,1433.152471,1526.699487,1505.466419,1436.81466,1360.60638,1224.45748,1094.11776,970.76694
2013,7,4,929.04324,947.4337,961.9561,953.14788,951.56768,1010.8061,1092.53504,1309.92934,1354.96936,1263.783713,1120.384667,1068.751771,1112.246186,1149.138175,1197.706998,1233.700726,1250.921531,1419.415267,1456.560399,1434.28688,1398.96196,1340.45686,1213.7252,1067.9907
2013,7,5,999.64116,983.89804,980.3096,972.4163,986.95668,1032.76004,1175.44668,1474.53154,1540.52066,1493.551453,1380.929487,1297.087131,1242.703026,1158.905515,1190.792378,1206.473906,1293.924151,1423.813807,1410.187019,1369.12856,1382.30616,1300.63414,1173.57164,1055.58782
2013,7,6,1018.8761,996.26134,971.0371,958.45068,975.3267,981.4367,998.68522,1064.556,1195.94922,1282.733973,1264.730767,1178.125131,1120.460786,1093.071055,1106.796418,1141.940046,1234.579791,1433.546947,1453.280059,1402.99058,1349.6663,1289.68644,1163.04602,1069.90368
2013,7,7,999.1109,982.00072,939.90428,943.15532,947.78338,942.9904,932.18332,966.23366,1079.41128,1170.352633,1160.853467,1107.670851,1062.117626,1066.153815,1058.178838,1073.351846,1178.256711,1369.936687,1413.393119,1383.76826,1340.2385,1210.18912,1051.0961,1001.33804
2013,7,8,968.1034,966.1869,946.67722,955.21828,978.70356,986.50548,1135.8708,1428.55542,1484.82654,1443.044013,1352.504447,1275.938431,1250.536726,1191.651735,1218.335578,1271.339006,1369.390711,1523.306247,1543.580379,1527.6904,1491.40314,1411.0916,1218.89306,1037.0749
2013,7,9,982.552,955.25636,935.47738,950.17516,958.67304,1052.87302,1281.49626,1569.08606,1636.12896,1602.687953,1506.495187,1395.414471,1328.226746,1277.560315,1289.053758,1291.468566,1421.848611,1590.644607,1648.005859,1628.60832,1590.6831,1500.33262,1283.0165,1110.42794
2013,7,10,1025.68546,1017.36872,1008.86456,995.3413,1008.5951,1053.49788,1257.27286,1536.62198,1608.95612,1579.063193,1493.220247,1421.073591,1367.222866,1330.362635,1347.893898,1365.765986,1456.349431,1597.340387,1611.940459,1564.64826,1518.38088,1437.38386,1255.4415,1100.54864
2013,7,11,1031.60084,1014.747,1011.40642,1017.63884,1004.1161,1113.8253,1360.9182,1643.70454,1716.89234,1698.775333,1621.846647,1521.272411,1424.258206,1353.671335,1348.357678,1369.585266,1458.301951,1605.938467,1595.685119,1578.3224,1553.64536,1459.84006,1353.06534,1080.2549
2013,7,12,992.862,979.26712,953.64606,956.19206,1000.83668,1077.99928,1290.5488,1566.7962,1656.96276,1635.115853,1552.289867,1461.101391,1392.393226,1325.198155,1352.443778,1360.990586,1462.604451,1540.434427,1575.910519,1524.87368,1498.7023,1402.7681,1259.2645,1139.16284
2013,7,13,1063.27442,1041.422,1012.4155,1000.2719,1001.43336,1013.1834,1044.8319,1110.02902,1252.62442,1350.926713,1357.055207,1322.555791,1284.071806,1272.504395,1286.153178,1311.566206,1367.594391,1440.619907,1409.242239,1404.15132,1334.18176,1254.58082,1155.22128,1079.57534
2013,7,14,1048.69,1004.51152,1013.03052,1004.09048,999.3726,1028.06962,1028.48434,1067.1471,1192.13664,1272.215933,1265.892707,1232.042491,1273.898226,1262.740155,1238.048058,1259.105966,1349.612691,1511.839627,1525.009419,1404.04596,1342.23658,1284.8765,1154.85184,1056.27956
2013,7,15,1003.93464,980.1158,955.66228,945.58858,939.38164,976.86482,1157.62914,1457.7718,1537.2876,1507.239273,1371.214487,1285.689111,1215.562866,1228.627495,1234.783858,1249.974066,1357.647451,1504.234887,1517.122579,1485.4732,1463.22812,1392.36466,1221.41902,1069.78564
2013,7,16,984.00824,974.51084,976.49876,949.88606,962.759,1020.5028,1235.3538,1483.2621,1514.21482,1448.538053,1339.591647,1226.071571,1157.991686,1136.937255,1155.842538,1157.224686,1258.289111,1445.933547,1494.876959,1456.0766,1431.32424,1352.06474,1180.67214,1026.65888
2013,7,17,970.152,950.2795,947.3277,944.8669,958.7768,1003.7034,1170.16,1438.6801,1454.3505,1394.794013,1302.653347,1296.306751,1231.788506,1247.784975,1268.423698,1275.621186,1370.025691,1527.298807,1537.845279,1495.4166,1469.78906,1396.81938,1215.44028,1048.1244
2013,7,18,985.5273,987.8195,981.8377,973.1169,988.4468,1032.8034,1225.74,1498.4101,1543.2905,1469.183713,1377.890147,1320.578571,1247.026186,1207.401695,1185.872998,1188.539286,1293.852611,1446.336347,1484.623099,1471.74102,1454.42954,1369.49374,1202.30696,1053.12144
2013,7,19,1019.06618,1020.25548,1021.20976,1019.97088,1053.16102,1129.15652,1301.20642,1570.55318,1626.7487,1569.274493,1472.753407,1370.342751,1294.317546,1293.477335,1302.694578,1320.805246,1395.870031,1508.276307,1562.839139,1514.42256,1497.866,1431.61472,1262.81154,1132.01612
2013,7,20,1057.3382,1011.98672,986.23064,980.5342,979.5369,1007.7703,1048.72674,1166.94882,1388.23326,1425.871533,1406.329587,1319.384251,1261.838166,1220.023135,1199.840498,1209.860866,1281.179771,1498.045027,1477.595439,1378.78908,1292.24538,1223.45874,1099.18762,1048.9272
2013,7,21,1006.81704,979.32634,962.94976,954.47714,975.48092,990.5188,1011.3404,1046.6018,1155.29226,1193.637833,1167.342507,1140.090311,1093.934646,1077.368715,1089.849618,1101.163006,1174.922631,1357.013507,1381.612039,1351.74006,1288.10306,1170.95808,1057.3904,1019.79962
2013,7,22,995.422,973.4795,960.3277,978.6169,979.888,1005.40034,1095.10828,1259.73132,1329.57828,1233.167213,1154.417007,1078.192151,1089.729446,1111.282815,1143.321978,1183.118086,1254.052611,1382.006347,1421.317379,1406.5913,1325.4765,1184.4981,1088.0252,999.3849
2013,7,23,961.622,959.61528,958.43046,967.49956,981.66108,1049.85648,1242.03176,1531.3302,1562.98056,1482.426713,1379.201107,1318.814011,1293.856826,1246.611875,1328.455438,1373.631886,1467.634151,1598.395027,1615.300719,1521.14532,1402.84098,1358.23232,1194.83042,1079.21484
2013,7,24,1025.768,970.59584,948.52458,986.95544,998.45426,1029.4032,1158.76446,1435.934,1432.20212,1236.869673,1193.646407,1178.840891,1169.853526,1204.038815,1218.534558,1198.967986,1231.036471,1386.243947,1426.750039,1409.25954,1383.56198,1274.31048,1114.91754,973.45506
